endpoint,endpoint_string,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,ratio_10,ratio,phecode_category
phecode_164-2,Macrocytic anemia,113,136,173,202,218,240,328,416,670,1442,0.002259231861167203,0.0027191298784388996,0.0034590314711880673,0.004038949873033011,0.0043588666946593885,0.004798944232268901,0.006558950567909135,0.008319500829950203,0.0134,0.028842307384590767,12.76642202172634,Blood
phecode_200-23,Multinodular goiter,38,57,71,102,151,177,211,266,354,486,7.582257517409262e-4,0.001137361321733578,0.0014168263090676885,0.0020354812316657023,0.0030134307210281587,0.0035326520836659746,0.004211492784575158,0.005309275263966787,0.007066150345323167,0.009701179711359961,12.794579568269137,Endo
phecode_380-12,Ischemic optic neuropathy,5,11,10,20,17,36,29,39,57,64,9.95123892924669e-5,2.1893597118006488e-4,1.9903666255324231e-4,3.9810502010430353e-4,3.3838926708865797e-4,7.166460962694589e-4,5.77332722820569e-4,7.764284292255624e-4,0.001134892981582877,0.0012742911755336094,12.805352022937242,Eye
phecode_679-5,Pyoderma,11,23,35,39,46,45,53,64,69,141,2.1988565945708232e-4,4.598068811099338e-4,6.997061234281602e-4,7.796881247501e-4,9.196505327975369e-4,8.997120921305183e-4,0.0010597032830807374,0.0012797184619383736,0.0013797240551889623,0.0028196616406031276,12.823308475710187,Derm
phecode_308-7,Restlessness and agitation*,50,83,95,126,132,155,177,243,320,642,9.966313859156052e-4,0.0016545400179407955,0.0018938638810254774,0.002511961722488038,0.0026316314121094917,0.003090173249067964,0.0035289191937316823,0.004845077162339993,0.006380475744222678,0.01280133995334091,12.844608482383203,Mental
phecode_724-1,Myalgia,493,938,1270,1605,1852,2201,2553,3203,3963,6344,0.01013610757021259,0.019286125503742084,0.026113955544589066,0.03300296101332456,0.038085837086392335,0.04526291977707858,0.05250493583415597,0.06587688447378705,0.08150966680378445,0.13048665103459625,12.873447734321891,Musc/Skel
phecode_202,Diabetes mellitus,841,1384,1883,2328,2698,3066,3751,4836,6342,10824,0.01760408598999435,0.028971551778275522,0.03941804479799037,0.0487345349494442,0.05648132641098644,0.0641852286049238,0.0785286605535318,0.10125416134503046,0.13279728626169984,0.226661640909662,12.875513164301168,Endo
phecode_668-5,Lichen simplex chronicus,39,68,103,118,141,143,186,247,269,502,7.780393408610302e-4,0.0013566084788029925,0.002054862842892768,0.0023541616790359906,0.002813135948286182,0.002853095508868538,0.003711241470130492,0.004928369049044256,0.005367868616925748,0.01001836034166201,12.8764187304141,Derm
phecode_287-5,Drug-induced psychotic disorder,8,10,14,12,12,13,9,29,35,103,1.592800541552184e-4,1.99100067694023e-4,2.7874564459930314e-4,2.3894386810298482e-4,2.3895338417730341e-4,2.5887647609375313e-4,1.79240022305425e-4,5.775626854673279e-4,6.970861797685674e-4,0.002051506762005298,12.879872328559763,Mental
phecode_058,Pneumoviridae,8,17,12,15,16,15,24,31,42,103,1.5919130815457476e-4,3.3829499323410016e-4,2.3880597014925374e-4,2.9852528509164724e-4,3.184333081240298e-4,2.9854310962502983e-4,4.776974980593539e-4,6.170750641957124e-4,8.360538259415558e-4,0.002050404108770952,12.880126010271928,ID
phecode_355-2,Alteration of consciousness,119,153,163,222,254,302,369,540,721,1533,0.00237577112739324,0.003054623862002875,0.0032544674054108018,0.004432818833489747,0.005071783710389169,0.00603035143769968,0.007368505131994089,0.01078317824194257,0.014398114865404585,0.03061530165957702,12.88646928425675,Neuro
phecode_334-1,Trigeminal nerve disorders [CN5],73,138,171,195,246,271,335,393,557,944,0.0014610519574093346,0.0027620991953884954,0.0034226696823522348,0.003903278754153489,0.004924431988789911,0.005424990991712376,0.006706303925690149,0.007867710356149025,0.011151374401889928,0.018900790869956954,12.936426233240129,Neuro
phecode_713-2,Effusion of joint,431,774,1000,1282,1468,1749,2102,2698,3627,5591,0.008796277399077514,0.01579720793534166,0.020410662530105726,0.026168071686636322,0.029965299040620536,0.035703349868332415,0.04291021924631527,0.05507920953780827,0.07404609762570688,0.11414863209473254,12.976925000876346,Musc/Skel
phecode_726-4,Stress fracture,7,12,15,14,21,20,23,32,42,91,1.3931734500945367e-4,2.388344877000239e-4,2.985549938298635e-4,2.786624203821656e-4,4.180185918745148e-4,3.9811294464239507e-4,4.5784811386483527e-4,6.370314335197978e-4,8.361703398435167e-4,0.0018117024029942863,13.004141034063988,Musc/Skel
phecode_482-1,Abscess of lung and mediastinum,6,6,7,10,7,8,11,19,36,78,1.1941249054651117e-4,1.1941724385001195e-4,1.3932011782501392e-4,1.9904062419139745e-4,1.3933398355858994e-4,1.5924517785695803e-4,2.1896647822278843e-4,3.782298841422144e-4,7.16674629718108e-4,0.0015529186907700884,13.00465875607231,Resp
phecode_556-4,Abdominal rigidity,3,8,10,6,15,11,15,18,29,39,5.9701492537313435e-5,1.592103168285305e-4,1.990128960356631e-4,1.194148671509603e-4,2.985490516091794e-4,2.1894032880856654e-4,2.9857876507822763e-4,3.583087825463811e-4,5.772867522643576e-4,7.764284292255624e-4,13.00517618952817,GI
phecode_685-4,Prickly heat and miliaria,24,42,51,86,102,80,134,145,170,312,4.789176461197693e-4,8.381226053639847e-4,0.0010177203065134099,0.0017162585563471632,0.0020356437224339913,0.0015966470412134518,0.0026746506986027943,0.0028943271188470597,0.003393416771463361,0.006228539487343288,13.005449972051425,Derm
phecode_333,Sleep disorders,920,1418,1843,2161,2652,3205,3772,4965,6570,11965,0.01958947278766715,0.03019526841421605,0.039247838493973335,0.04602082756564516,0.056480811006517015,0.06826120293065258,0.08034078807241747,0.10575980914241895,0.1399569690901732,0.254889011972221,13.011529954634117,Neuro
phecode_283-4,Patient's noncompliance with medical treatment and regimen,418,657,896,1104,1380,1575,1925,2502,3435,5437,0.008410632004668102,0.0132203799098519,0.018029982895663547,0.022216855831924655,0.02777218756288992,0.031698432185481115,0.03874408775284291,0.050358264229933176,0.06914112034781908,0.1094426216308702,13.01241352256607,Mental
phecode_479-6,Pulmonary collapse [Atelectasis],185,306,376,431,605,766,938,1011,1370,2409,0.0036873891291782103,0.006099262507474586,0.007494966810851755,0.008591476298688354,0.012060682176105895,0.015271132376395534,0.018701650849350028,0.020157511713687567,0.027316411779953344,0.048034934497816595,13.026814587513279,Resp
phecode_413-11,Mitral insufficiency,202,354,382,448,594,645,794,980,1312,2632,0.004036367269457488,0.00707377507793142,0.007633587786259542,0.008953016647015328,0.011870740822158716,0.01289020344538151,0.015868574626269085,0.01958824705176894,0.026226362291608362,0.05261369315342329,13.034912246846874,Cardio
phecode_394,Disorders of vestibular function,306,605,784,992,1229,1472,1839,2142,2696,3992,0.006205008618067525,0.012268570153914788,0.01589908945265762,0.020118031191060457,0.024925466972235178,0.02985377329790902,0.037301474615119366,0.04344915718371569,0.05469003570269393,0.08098184400040571,13.051044564967347,Hearing
phecode_486-2,Other diseases of bronchus,56,70,65,79,98,93,118,156,252,731,0.0011206724034420652,0.0014009526478005044,0.0013008846015290397,0.0015811384196621567,0.0019614514740908273,0.0018614146751531164,0.0023619840666159572,0.0031228105294765288,0.005044742057534082,0.014634634634634635,13.058798083798084,Resp
phecode_605-1,Male erectile dysfunction,457,1161,1647,2001,2214,2589,2806,3145,3626,5965,0.021767087401762326,0.055306783536585365,0.07846593616007623,0.09534473721827798,0.1054938771620527,0.12337971788028974,0.13374005052190077,0.14991181657848324,0.1728559851265672,0.28438617401668653,13.064962195799417,Genitourinary
phecode_232-27,Vitamin B12 deficiency,77,83,120,111,146,158,191,276,393,1007,0.0015372022918288715,0.0016569842885947575,0.0023958312536187035,0.0022161439095973005,0.002915102627585656,0.00315476309326518,0.003813897763578275,0.005511292158389744,0.007848070932183081,0.020111040102252755,13.082884542362892,Metab
phecode_728,Chondropathies,159,253,337,424,525,655,787,1009,1251,2082,0.0032184280306863954,0.00512114648907961,0.006821862348178138,0.008583517217644797,0.010628390962830999,0.013260451462698653,0.015934399676047782,0.020430477656063338,0.025331065484145304,0.04215769651318187,13.098847049312731,Musc/Skel
phecode_469-1,Acute bronchitis,47,79,100,118,154,190,230,289,351,616,9.415252709389211e-4,0.0015826588668963859,0.002003486065754413,0.0023641609232248756,0.0030855539971949507,0.003807081170978019,0.004608571943815497,0.005791118948380892,0.007033645271827345,0.012345184175718466,13.111898912078512,Resp
phecode_605,Male sexual dysfuction,456,1168,1641,2011,2222,2597,2818,3170,3630,5977,0.021724630776560266,0.05564819667444852,0.0781912612569686,0.09583035501548726,0.1058902020587114,0.12376685888576466,0.13431839847473784,0.1511250953470633,0.17307967386639966,0.28498545749296716,13.118080598196011,Genitourinary
phecode_804,Other symptoms and signs involving the circulatory and respiratory system,897,1799,2416,3085,3632,4203,4870,6061,7659,11765,0.019183882971897857,0.03847716821730296,0.05167472301835137,0.06599071637895998,0.07769316334388637,0.08991143627262226,0.1041889521201489,0.12967202242142872,0.16386743404865317,0.2517223672386495,13.121554567831408,Signs/Symptoms
phecode_714,Deforming dorsopathies,138,178,217,255,301,370,472,600,869,1811,0.002766029945280712,0.003568063824242789,0.004350092213936332,0.0051119619910590785,0.006034603741053349,0.007418248892274997,0.00946384889922605,0.012030557616345517,0.017424956387479696,0.03631514568168602,13.128977776847806,Musc/Skel
phecode_532-1,Intestinal fistula,36,42,85,87,100,114,145,147,233,473,7.191226703421826e-4,8.390099682374798e-4,0.0016981659807408,0.00173819228002877,0.001998041918919459,0.0022778132992327367,0.0028974502437854686,0.0029374737725556023,0.004656181930816731,0.009452249155692332,13.144140138419827,GI
