endpoint,phecode_string,freq,phecode_category,delta,.lower,.upper,.width,.point,.interval,pos,highlight,endpoint_id
phecode_413-4,Pulmonary valve disorders,0.0019197603884129318,Cardio,0.0684500420973973,0.041092206899573956,0.09392657159518147,0.9999734466277217,median,qi,pos,NO,74
phecode_374-511,Nonexuadative (dry) age-related macular degeneration,0.0036257277339301216,Eye,0.06845049250618279,0.06112137122224825,0.07575333922385584,0.9999734466277217,median,qi,pos,NO,36
phecode_230-2,Abnormal loss of weight and underweight,0.042480342871874195,Metab,0.06849134221269287,0.06368925143378924,0.07387069259887896,0.9999734466277217,median,qi,pos,NO,10
phecode_589-1,Membranous glomerulonephritis,2.229352611925444e-4,Genitourinary,0.0687142676275897,-0.013251616280816388,0.1367830376616831,0.9999734466277217,median,qi,pos,NO,54
phecode_230-21,Abnormal weight loss,0.04026522947056705,Metab,0.06873485580924449,0.06389187389426938,0.0741875184284872,0.9999734466277217,median,qi,pos,NO,11
phecode_337-1,Hereditary and idiopathic neuropathy,0.0012583424921552698,Neuro,0.06875637916999872,0.045431838223529336,0.08809384820086648,0.9999734466277217,median,qi,pos,NO,32
phecode_667-3,Erythema nodosum,5.844372148873911e-4,Derm,0.0689344533791732,0.038906682948967174,0.1040493074337461,0.9999734466277217,median,qi,pos,NO,6
phecode_424-1,Left heart failure,0.018817833060451764,Cardio,0.06898306103679341,0.06287713402851232,0.07341025599481228,0.9999734466277217,median,qi,pos,NO,75
phecode_706-6,Discitis*,7.564522389990943e-4,Musc/Skel,0.06901149843372817,0.030993733169100007,0.10126415298950264,0.9999734466277217,median,qi,pos,NO,27
phecode_416-22,Atrial flutter,0.007611412929625853,Cardio,0.06907824730590728,0.061405608017121444,0.07487205950809558,0.9999734466277217,median,qi,pos,NO,76
phecode_442,Disease of capillaries,7.607334107343069e-4,Cardio,0.06918621601729086,0.040090866857333395,0.0985992059758294,0.9999734466277217,median,qi,pos,NO,77
phecode_513-1,Esophageal ulcer,0.009417427053043216,GI,0.06929309291098407,0.061156799119401126,0.0765369578623734,0.9999734466277217,median,qi,pos,NO,35
phecode_552,Other diseases of biliary tract,0.00960541015001596,GI,0.06933382942733046,0.06189537181436013,0.08020928066366825,0.9999734466277217,median,qi,pos,NO,36
phecode_100-1,Malignant neoplasm of the oral cavity,0.0014856680826318231,Neoplasms,0.06935322198062832,0.046594039358891275,0.09199212097711011,0.9999734466277217,median,qi,pos,NO,103
phecode_660-7,Pilonidal cyst,0.0013456343747691559,Derm,0.06952032450399087,0.053193873149160534,0.08863032713253516,0.9999734466277217,median,qi,pos,NO,7
phecode_100-6,Malignant neoplasm of the larynx,7.187941779662704e-4,Neoplasms,0.06954026877206942,0.04041150480894278,0.08847907783841116,0.9999734466277217,median,qi,pos,NO,104
phecode_410-2,Endocarditis,0.006237147771345962,Cardio,0.06954849468893798,0.060486267027959964,0.0812340394597694,0.9999734466277217,median,qi,pos,YES,78
phecode_841-1,Allergy to other anti-infective agents,0.06474756784434203,Signs/Symptoms,0.06966793879402805,0.06606927669658708,0.074018935436719,0.9999734466277217,median,qi,pos,NO,7
phecode_334-44,Sixth [abducent] nerve palsy,8.919150291664178e-4,Neuro,0.06993861470478135,0.03016250715443099,0.10124142554214283,0.9999734466277217,median,qi,pos,NO,33
phecode_403,Angina pectoris,0.04530505818742606,Cardio,0.06999059114943151,0.06663040134460244,0.07297523136805843,0.9999734466277217,median,qi,pos,NO,79
phecode_550-1,Gallstones [Cholelithiasis],0.043952461883196625,GI,0.07005072978176236,0.06538947420451832,0.07455865276282639,0.9999734466277217,median,qi,pos,NO,37
phecode_550,Disorders of the gallbladder,0.0503888498815022,GI,0.07006627300677815,0.06639685906628444,0.07497894445657607,0.9999734466277217,median,qi,pos,NO,38
phecode_472-4,Laryngeal spasm,4.30017618777436e-4,Resp,0.07041509714028177,0.02961081970148271,0.11317349200850661,0.9999734466277217,median,qi,pos,NO,14
phecode_416-51,Atrial premature depolarization [Supraventricular premature beats],0.0029214494531492707,Cardio,0.07069854866360764,0.05303741564202291,0.0856437759934633,0.9999734466277217,median,qi,pos,NO,80
phecode_410,Inflammation of the heart [Carditis],0.008417609760012842,Cardio,0.07093690792676988,0.06298962133013032,0.08071735353455733,0.9999734466277217,median,qi,pos,NO,81
phecode_200-22,Uninodular goiter [single thyroid nodule],0.004766135875804922,Endo,0.0710867098755153,0.05795196553935738,0.07992444724582042,0.9999734466277217,median,qi,pos,NO,19
phecode_356,Speech disturbance,0.011566395945371144,Neuro,0.07116311408195758,0.05980743740152544,0.0825286395448935,0.9999734466277217,median,qi,pos,NO,34
phecode_486-3,Other diseases of mediastinum,3.4232875103743524e-4,Resp,0.07124786570692498,0.009621501018647791,0.11994972616337228,0.9999734466277217,median,qi,pos,NO,15
phecode_424,Heart failure,0.03893088325743627,Cardio,0.07157935867070825,0.06778125598995925,0.075076202292943775,0.9999734466277217,median,qi,pos,YES,82
phecode_663,Bullous disorders,0.0015512829448488046,Derm,0.07170422363623402,0.04683448259892434,0.09127801690285911,0.9999734466277217,median,qi,pos,NO,8
phecode_835,Cytology and pathology findings,0.042034015375747566,Signs/Symptoms,0.07174001213538522,0.06973527664617823,0.0741931554441673,0.9999734466277217,median,qi,pos,NO,8
phecode_841-11,Penicillin allergy,0.05110176522992431,Signs/Symptoms,0.07181433696591821,0.0678429181664165,0.07628309135424312,0.9999734466277217,median,qi,pos,NO,9
phecode_479-6,Pulmonary collapse [Atelectasis],0.01674003014281955,Resp,0.07186751757850718,0.06515377259926478,0.07659576719727343,0.9999734466277217,median,qi,pos,NO,16
phecode_440-1,Venous thromboembolism,0.036213839579224194,Cardio,0.07208762747444242,0.0671631417400079,0.07736564750024102,0.9999734466277217,median,qi,pos,NO,83
phecode_682-3,Hidradenitis suppurativa,8.389445638982824e-4,Derm,0.07228432300357285,0.0457436839596609,0.0994570417690734,0.9999734466277217,median,qi,pos,NO,9
phecode_110-1,Malignant neoplasm of the thyroid,0.001141320585599044,Neoplasms,0.07229504574608109,0.038276712297001365,0.11897450673640218,0.9999734466277217,median,qi,pos,NO,105
phecode_355-1,Coma,0.0033018369458805794,Neuro,0.07237340670694375,0.055096812295488615,0.09147057696065578,0.9999734466277217,median,qi,pos,NO,35
phecode_326,Demyelinating diseases of the central nervous system,0.0017725217168881153,Neuro,0.07255277186524989,0.05410250306668059,0.09887495334504957,0.9999734466277217,median,qi,pos,NO,36
phecode_591,Urinary tract infection,0.11267392750105804,Genitourinary,0.07256935432888195,0.07028575666434102,0.07471392407914389,0.9999734466277217,median,qi,pos,NO,55
phecode_374-512,Exuadative (wet) age-related macular degeneration,0.0024083627909939173,Eye,0.07261412853403565,0.06021494858836117,0.08356400019986404,0.9999734466277217,median,qi,pos,NO,37
phecode_540,Hepatitis,0.0032133495506127645,GI,0.07264892631682762,0.053496420970000666,0.09677746630876166,0.9999734466277217,median,qi,pos,NO,39
phecode_416-11,Supraventricular tachycardia,0.009126597254613846,Cardio,0.07285914949555722,0.06384981201383297,0.08246966148647919,0.9999734466277217,median,qi,pos,NO,84
phecode_544-1,Primary biliary cirrhosis*,7.088442255080382e-4,GI,0.07287471977220306,0.04297879740350324,0.10855827852859869,0.9999734466277217,median,qi,pos,NO,40
phecode_532-2,Intestinal perforation,0.0018514684334586227,GI,0.0731883275058029,0.054908881504364765,0.09167185199053607,0.9999734466277217,median,qi,pos,NO,41
phecode_466,Tonsillitis and adenoiditis,0.01989965858939129,Resp,0.07327271700341759,0.06903213148778685,0.0773065596356429,0.9999734466277217,median,qi,pos,NO,17
phecode_149-1,Benign neoplasm of the thyroid,6.493687577934211e-4,Neoplasms,0.07343216601614183,0.04251555880439258,0.1060152618311012,0.9999734466277217,median,qi,pos,NO,106
phecode_442-1,Hereditary hemorrhagic telangiectasia,2.2294901832760369e-4,Cardio,0.07345611280666497,0.021980569390951096,0.13014175860241306,0.9999734466277217,median,qi,pos,NO,85
phecode_709-23,Hallux varus (acquired),9.019771817693089e-4,Musc/Skel,0.07346692246584541,0.04638103460766928,0.10930149333614951,0.9999734466277217,median,qi,pos,NO,28
phecode_350-5,Repeated falls*,0.03723214125249363,Neuro,0.07359273797415966,0.0696630168988157,0.07759527920962976,0.9999734466277217,median,qi,pos,NO,37
phecode_426,Other heart disorders in diseases NEC,0.02272913318225834,Cardio,0.07366437263557618,0.06949485567037356,0.0792521787183348,0.9999734466277217,median,qi,pos,NO,86
phecode_135-16,Benign neoplasm of the salivary glands,0.0012849168688667631,Neoplasms,0.07367109494777435,0.048405549045493636,0.10204282194992008,0.9999734466277217,median,qi,pos,NO,107
phecode_586,Other disorders of the kidney and ureters,0.022078117025428563,Genitourinary,0.07369356037186786,0.06830407643582921,0.08109727298964708,0.9999734466277217,median,qi,pos,NO,56
phecode_369-6,Corneal deformities,3.386703800877754e-4,Eye,0.07372718981957449,0.026479828699668192,0.11807810943186603,0.9999734466277217,median,qi,pos,NO,38
phecode_522-61,Eosinophilic esophagitis,2.4877651708895654e-4,GI,0.07377345605423608,0.029713571683966794,0.11030591502481626,0.9999734466277217,median,qi,pos,NO,42
phecode_504-3,Periodontitis,0.002460189033502866,GI,0.07389007024346006,0.05953062246213628,0.10363083033356693,0.9999734466277217,median,qi,pos,NO,43
phecode_466-1,Acute tonsillitis and adenoiditis,0.016891065379017512,Resp,0.07393351945396254,0.06949619443833158,0.07853451261350736,0.9999734466277217,median,qi,pos,NO,18
phecode_010,Corynebacterium,0.0011340449065810542,ID,0.0741304150422491,0.058336600813956606,0.0916658770297888,0.9999734466277217,median,qi,pos,NO,12
phecode_522-4,Toxic gastroenteritis and colitis,0.0017557200243650943,GI,0.07416616803730863,0.04921806003258612,0.09163850869756195,0.9999734466277217,median,qi,pos,NO,44
phecode_377-4,Retinal hemorrhage,0.003538387013820641,Eye,0.07444181395733557,0.0635720800778174,0.08483378794447438,0.9999734466277217,median,qi,pos,NO,39
phecode_440-2,Arterial embolism and thrombosis,0.008469454312619806,Cardio,0.0744965037822945,0.06770582356983373,0.08135290398459868,0.9999734466277217,median,qi,pos,NO,87
phecode_714,Deforming dorsopathies,0.010447324314137469,Musc/Skel,0.0745349085514112,0.06747334932232109,0.08157830120093511,0.9999734466277217,median,qi,pos,NO,29
phecode_684-2,Hypertrichosis and hirsutism,7.464205740652779e-4,Derm,0.07455765849358503,0.05815535701063707,0.09263893735254078,0.9999734466277217,median,qi,pos,NO,10
phecode_387-2,Myopia,0.00935077102321978,Eye,0.07460604639585372,0.06633307419505786,0.0880583279411271,0.9999734466277217,median,qi,pos,NO,40
phecode_552-1,Cholangitis,0.0035805891443228344,GI,0.07473968686343346,0.06133154644630229,0.09243654031596826,0.9999734466277217,median,qi,pos,NO,45
phecode_414-1,Hypertrophic cardiomyopathy,0.001286224850421607,Cardio,0.07479482404973548,0.04512309763636917,0.09472092907057275,0.9999734466277217,median,qi,pos,NO,88
phecode_230,Malnutrition and underweight,0.05260108488728195,Metab,0.0749040377533634,0.07074184077928478,0.07856439362603938,0.9999734466277217,median,qi,pos,NO,12
phecode_386-4,Visual field defects,0.0054168389389227444,Eye,0.0750530952043128,0.06106131778371892,0.08748093228126376,0.9999734466277217,median,qi,pos,NO,41
phecode_416-213,Chronic atrial fibrillation*,0.0012259682362775147,Cardio,0.0750916503534067,0.05228921887230089,0.09444456049045111,0.9999734466277217,median,qi,pos,NO,89
phecode_812-1,Generalized edema*,4.976292940431783e-4,Signs/Symptoms,0.0751131482725107,0.028371501736801096,0.127478056095667,0.9999734466277217,median,qi,pos,NO,10
phecode_200-4,Thyroiditis,0.001872210645653198,Endo,0.07527924258578206,0.054418163525201825,0.09071972077492702,0.9999734466277217,median,qi,pos,NO,20
phecode_514-2,Intestinal obstruction,0.011809567968470512,GI,0.07541104007436777,0.06796157286075069,0.08104337587329596,0.9999734466277217,median,qi,pos,NO,46
phecode_675,Atrophic conditions of skin,0.011265386430348159,Derm,0.0755390977965783,0.07147319600725917,0.0827367295933538,0.9999734466277217,median,qi,pos,NO,11
phecode_603-6,Scrotal pain*,0.008339097841124804,Genitourinary,0.07555019803703555,0.06918725794476949,0.08039390990472778,0.9999734466277217,median,qi,pos,NO,57
phecode_363-6,Inflammation of lacrimal passages,0.001001984047935873,Eye,0.07558546145847816,0.0448679415375307,0.1052284352256076,0.9999734466277217,median,qi,pos,NO,42
phecode_472-1,Paralysis of vocal cords and larynx,0.0012822095417096393,Resp,0.07565063630435692,0.05382075005692282,0.10467226836895806,0.9999734466277217,median,qi,pos,NO,19
phecode_411,Other diseases of pericardium,0.005851705003935007,Cardio,0.07579837555997304,0.0650308772785496,0.08862632434336032,0.9999734466277217,median,qi,pos,NO,90
phecode_320-11,Bacterial meningitis,3.665696452442569e-4,Neuro,0.07585371468534946,0.026247882772426533,0.1269944135750446,0.9999734466277217,median,qi,pos,NO,38
phecode_344-1,Hydrocephalus,0.001987355005725096,Neuro,0.07597612848016677,0.053929507732891575,0.10288421203208124,0.9999734466277217,median,qi,pos,NO,39
phecode_372,Disorders of lens (excluding cataracts),0.0011608920748705696,Eye,0.07602720835549237,0.03605151615294602,0.10678547824022827,0.9999734466277217,median,qi,pos,NO,43
phecode_247-5,Disorders of calcium metabolism,0.01250663442237626,Metab,0.07622074077350743,0.06701130289479329,0.08321364452093256,0.9999734466277217,median,qi,pos,NO,13
phecode_675-1,Circumscribed scleroderma,0.011119374340274445,Derm,0.07640491332379962,0.07099495376292173,0.0807564648504211,0.9999734466277217,median,qi,pos,NO,12
phecode_348-4,Spinal cord compression*,0.0016883248751177148,Neuro,0.07661753303739804,0.05354009534830199,0.09324174813128963,0.9999734466277217,median,qi,pos,NO,40
phecode_444-1,Varicose veins,0.043827463181211,Cardio,0.07664990041998004,0.07346608637817363,0.08079278536202322,0.9999734466277217,median,qi,pos,NO,91
phecode_416-212,Persistent atrial fibrillation*,0.0031266917173518455,Cardio,0.07667410973691574,0.05780558176485117,0.09670498794686287,0.9999734466277217,median,qi,pos,NO,92
