endpoint,phecode_string,phecode_category,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events
phecode_403-1,Coronary artery spasm [Coronary vasospasm],Cardio,"0.648 (0.601, 0.694)","0.78 (0.727, 0.831)","0.129 (0.055, 0.19)",0.129,+,105
phecode_404,Ischemic heart disease,Cardio,"0.707 (0.699, 0.711)","0.769 (0.764, 0.775)","0.063 (0.059, 0.068)",0.063,+,7699
phecode_404-1,Myocardial infarction [Heart attack],Cardio,"0.689 (0.676, 0.697)","0.799 (0.79, 0.809)","0.11 (0.1, 0.118)",0.11,+,3104
phecode_404-11,Acute myocardial infarction,Cardio,"0.689 (0.675, 0.697)","0.799 (0.789, 0.809)","0.109 (0.101, 0.118)",0.109,+,3092
phecode_404-2,Coronary atherosclerosis [Atherosclerotic heart disease],Cardio,"0.74 (0.733, 0.745)","0.802 (0.797, 0.806)","0.062 (0.057, 0.067)",0.062,+,6239
phecode_406,Chronic pulmonary heart disease,Cardio,"0.669 (0.659, 0.68)","0.828 (0.816, 0.834)","0.157 (0.148, 0.168)",0.157,+,2173
phecode_406-1,Pulmonary hypertension,Cardio,"0.676 (0.664, 0.687)","0.841 (0.83, 0.847)","0.164 (0.153, 0.176)",0.164,+,2149
phecode_406-13,Secondary pulmonary arterial hypertension*,Cardio,"0.619 (0.599, 0.645)","0.838 (0.813, 0.858)","0.218 (0.178, 0.244)",0.218,+,401
phecode_408,Diseases of pulmonary vessels,Cardio,"0.651 (0.608, 0.687)","0.812 (0.778, 0.847)","0.161 (0.118, 0.202)",0.161,+,323
phecode_410,Inflammation of the heart [Carditis],Cardio,"0.7 (0.692, 0.709)","0.763 (0.752, 0.769)","0.063 (0.049, 0.074)",0.063,+,5390
phecode_410-1,Pericarditis,Cardio,"0.551 (0.51, 0.591)","0.779 (0.727, 0.815)","0.228 (0.167, 0.285)",0.228,+,217
phecode_410-2,Endocarditis,Cardio,"0.705 (0.698, 0.715)","0.772 (0.76, 0.78)","0.066 (0.053, 0.078)",0.066,+,5241
phecode_410-3,Myocarditis,Cardio,"0.561 (0.513, 0.625)","0.783 (0.731, 0.839)","0.223 (0.155, 0.297)",0.223,+,125
phecode_411,Other diseases of pericardium,Cardio,"0.606 (0.59, 0.622)","0.768 (0.741, 0.786)","0.16 (0.141, 0.178)",0.16,+,1322
phecode_411-2,Pericardial effusion (noninflammatory)*,Cardio,"0.617 (0.599, 0.632)","0.778 (0.749, 0.794)","0.161 (0.138, 0.18)",0.161,+,1137
phecode_413,Heart valve disorders,Cardio,"0.71 (0.703, 0.719)","0.78 (0.771, 0.787)","0.069 (0.06, 0.079)",0.069,+,5118
phecode_413-1,Mitral valve disorders,Cardio,"0.726 (0.716, 0.735)","0.802 (0.792, 0.809)","0.077 (0.068, 0.086)",0.077,+,3809
phecode_413-11,Mitral valve insufficiency,Cardio,"0.718 (0.709, 0.734)","0.817 (0.804, 0.828)","0.1 (0.089, 0.111)",0.1,+,2483
