endpoint,phecode_string,phecode_category,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events
phecode_438-3,Aneurysm of carotid artery,Cardio,"0.634 (0.58, 0.69)","0.702 (0.661, 0.746)","0.061 (-0.002, 0.137)",0.061,ns,171
phecode_438-4,Arterial dissection,Cardio,"0.637 (0.603, 0.673)","0.716 (0.69, 0.746)","0.078 (0.051, 0.108)",0.078,+,294
phecode_438-7,Aneurysm of heart,Cardio,"0.695 (0.648, 0.75)","0.762 (0.729, 0.813)","0.063 (0.025, 0.109)",0.063,+,182
phecode_439,Hemorrhoids,Cardio,"0.6 (0.591, 0.606)","0.664 (0.657, 0.67)","0.064 (0.055, 0.072)",0.064,+,7898
phecode_440,Embolism and thrombosis,Cardio,"0.6 (0.591, 0.608)","0.701 (0.694, 0.709)","0.101 (0.092, 0.112)",0.101,+,4999
phecode_440-1,Venous thromboembolism,Cardio,"0.58 (0.569, 0.59)","0.699 (0.69, 0.711)","0.119 (0.106, 0.13)",0.119,+,3552
phecode_440-11,Deep vein thrombosis [DVT],Cardio,"0.61 (0.598, 0.621)","0.708 (0.692, 0.728)","0.097 (0.079, 0.112)",0.097,+,2164
phecode_440-12,Portal vein thrombosis,Cardio,"0.584 (0.541, 0.624)","0.823 (0.769, 0.852)","0.238 (0.168, 0.29)",0.238,+,167
phecode_440-13,Phlebitis and thrombophlebitis,Cardio,"0.585 (0.571, 0.599)","0.7 (0.691, 0.714)","0.117 (0.104, 0.132)",0.117,+,2519
phecode_440-2,Arterial embolism and thrombosis,Cardio,"0.663 (0.645, 0.682)","0.773 (0.756, 0.793)","0.109 (0.097, 0.124)",0.109,+,1146
phecode_440-21,Embolism of cerebral or precerebral arteries,Cardio,"0.696 (0.671, 0.721)","0.798 (0.772, 0.82)","0.102 (0.079, 0.123)",0.102,+,402
phecode_440-22,Thrombosis of cerebral or precerebral arteries,Cardio,"0.678 (0.652, 0.709)","0.742 (0.71, 0.77)","0.063 (0.036, 0.101)",0.063,+,342
phecode_440-3,Pulmonary embolism,Cardio,"0.59 (0.571, 0.601)","0.715 (0.695, 0.728)","0.125 (0.112, 0.137)",0.125,+,1972
phecode_441,Arteriovenous malformation,Cardio,"0.592 (0.567, 0.609)","0.796 (0.775, 0.84)","0.208 (0.176, 0.253)",0.208,+,508
phecode_441-1,Arteriovenous fistula,Cardio,"0.589 (0.552, 0.645)","0.189 (0.153, 0.208)","-0.4 (-0.487, -0.345)",-0.4,-,247
phecode_442,Disease of capillaries,Cardio,"0.652 (0.632, 0.678)","0.621 (0.602, 0.642)","-0.031 (-0.053, -0.007)",-0.031,-,697
phecode_443,Other specified disorders of arteries and arterioles,Cardio,"0.699 (0.694, 0.703)","0.736 (0.731, 0.74)","0.037 (0.031, 0.043)",0.037,+,10559
phecode_443-1,Stricture of artery [Arterial stenosis],Cardio,"0.716 (0.695, 0.74)","0.811 (0.781, 0.832)","0.096 (0.064, 0.118)",0.096,+,497
phecode_444,Venous insufficiency,Cardio,"0.614 (0.607, 0.619)","0.677 (0.67, 0.683)","0.064 (0.059, 0.07)",0.064,+,9574
phecode_444-1,Varicose veins,Cardio,"0.604 (0.597, 0.61)","0.666 (0.658, 0.672)","0.062 (0.057, 0.068)",0.062,+,8696
phecode_444-11,Varicose veins of lower extremities,Cardio,"0.604 (0.597, 0.61)","0.666 (0.659, 0.672)","0.062 (0.058, 0.068)",0.062,+,8696
phecode_444-12,Gastric varices*,Cardio,"0.526 (0.482, 0.58)","0.897 (0.85, 0.937)","0.376 (0.293, 0.431)",0.376,+,128
phecode_444-13,Esophageal varix,Cardio,"0.641 (0.609, 0.657)","0.878 (0.858, 0.899)","0.237 (0.212, 0.281)",0.237,+,353
phecode_444-15,Scrotal varices [Varicocele],Cardio,"0.823 (0.806, 0.844)","0.855 (0.839, 0.875)","0.032 (0.009, 0.056)",0.032,+,314
phecode_444-5,Venous insufficiency (chronic) (peripheral),Cardio,"0.676 (0.669, 0.688)","0.769 (0.759, 0.777)","0.093 (0.082, 0.102)",0.093,+,2450
phecode_446,Hypotension,Cardio,"0.63 (0.618, 0.637)","0.749 (0.74, 0.756)","0.12 (0.113, 0.128)",0.12,+,5542
phecode_446-2,Orthostatic hypotension,Cardio,"0.666 (0.65, 0.68)","0.765 (0.754, 0.778)","0.099 (0.084, 0.108)",0.099,+,1824
phecode_447,Nonspecific low blood-pressure reading,Cardio,"0.621 (0.589, 0.657)","0.739 (0.703, 0.768)","0.113 (0.069, 0.145)",0.113,+,187
phecode_448,Peripheral vascular disease,Cardio,"0.672 (0.666, 0.677)","0.735 (0.73, 0.742)","0.063 (0.058, 0.07)",0.063,+,7275
phecode_448-1,Raynaud's syndrome,Cardio,"0.592 (0.568, 0.609)","0.696 (0.67, 0.713)","0.104 (0.073, 0.135)",0.104,+,681
phecode_448-9,Peripheral vascular disease NOS [includes PAD],Cardio,"0.685 (0.677, 0.692)","0.746 (0.739, 0.753)","0.061 (0.055, 0.068)",0.061,+,6883
phecode_449,Other disorders of the circulatory system,Cardio,"0.602 (0.596, 0.608)","0.651 (0.645, 0.656)","0.048 (0.043, 0.054)",0.048,+,11520
phecode_452,"Hemorrhage, NOS",Cardio,"0.55 (0.536, 0.558)","0.601 (0.593, 0.606)","0.051 (0.039, 0.066)",0.051,+,12337
phecode_460,Acute respiratory infection,Resp,"0.562 (0.556, 0.569)","0.588 (0.582, 0.594)","0.026 (0.016, 0.035)",0.026,+,14621
phecode_460-1,Acute upper respiratory infection,Resp,"0.58 (0.574, 0.584)","0.605 (0.6, 0.612)","0.025 (0.019, 0.032)",0.025,+,13729
phecode_460-2,Acute lower respiratory infection,Resp,"0.533 (0.525, 0.541)","0.614 (0.605, 0.62)","0.079 (0.068, 0.09)",0.079,+,10847
phecode_462,Sinusitis,Resp,"0.555 (0.544, 0.562)","0.65 (0.644, 0.659)","0.095 (0.083, 0.107)",0.095,+,6141
phecode_462-1,Acute sinusitis,Resp,"0.571 (0.562, 0.581)","0.686 (0.676, 0.696)","0.114 (0.1, 0.126)",0.114,+,4271
phecode_462-2,Chronic sinusitis,Resp,"0.555 (0.544, 0.562)","0.649 (0.642, 0.658)","0.093 (0.081, 0.105)",0.093,+,6141
phecode_463,Rhinitis and nasal congestion,Resp,"0.541 (0.535, 0.546)","0.651 (0.645, 0.656)","0.11 (0.104, 0.119)",0.11,+,10297
phecode_463-1,Chronic rhinitis,Resp,"0.582 (0.569, 0.591)","0.707 (0.696, 0.719)","0.125 (0.112, 0.133)",0.125,+,3945
phecode_463-2,Allergic rhinitis,Resp,"0.544 (0.536, 0.553)","0.651 (0.642, 0.66)","0.106 (0.094, 0.119)",0.106,+,6745
phecode_463-21,Seasonal allergic rhinitis,Resp,"0.547 (0.539, 0.557)","0.685 (0.676, 0.696)","0.137 (0.127, 0.149)",0.137,+,4691
phecode_463-23,"Allergic rhinitis, due to animal hair and dander",Resp,"0.606 (0.575, 0.631)","0.753 (0.729, 0.788)","0.148 (0.116, 0.187)",0.148,+,422
phecode_463-3,Vasomotor rhinitis*,Resp,"0.698 (0.665, 0.724)","0.781 (0.744, 0.808)","0.081 (0.045, 0.119)",0.081,+,343
phecode_463-4,Nasal congestion*,Resp,"0.546 (0.538, 0.553)","0.687 (0.679, 0.697)","0.14 (0.131, 0.157)",0.14,+,4719
phecode_463-5,Postnasal drip,Resp,"0.611 (0.595, 0.627)","0.72 (0.708, 0.731)","0.109 (0.1, 0.119)",0.109,+,2157
phecode_464,Nasopharyngitis,Resp,"0.569 (0.551, 0.593)","0.648 (0.626, 0.669)","0.077 (0.045, 0.107)",0.077,+,837
phecode_464-1,Acute nasopharyngitis,Resp,"0.569 (0.551, 0.593)","0.648 (0.626, 0.669)","0.077 (0.045, 0.107)",0.077,+,837
phecode_465,Pharyngitis,Resp,"0.635 (0.625, 0.642)","0.62 (0.614, 0.629)","-0.015 (-0.023, -0.004)",-0.015,-,7649
phecode_465-1,Acute Pharyngitis,Resp,"0.635 (0.626, 0.643)","0.62 (0.614, 0.628)","-0.015 (-0.023, -0.005)",-0.015,-,7642
phecode_465-11,Streptococcal tonsillitis/pharyngitis,Resp,"0.714 (0.699, 0.727)","0.637 (0.623, 0.653)","-0.077 (-0.1, -0.058)",-0.077,-,1127
phecode_465-2,Chronic Pharyngitis,Resp,"0.63 (0.603, 0.655)","0.689 (0.664, 0.714)","0.06 (0.012, 0.096)",0.06,+,674
phecode_466,Tonsillitis and adenoiditis,Resp,"0.706 (0.691, 0.725)","0.7 (0.682, 0.722)","-0.005 (-0.026, 0.015)",-0.005,ns,1213
phecode_466-1,Acute tonsillitis and adenoiditis,Resp,"0.745 (0.726, 0.763)","0.72 (0.701, 0.739)","-0.027 (-0.054, 0.002)",-0.027,ns,750
phecode_466-3,Peritonsillar abscess,Resp,"0.738 (0.684, 0.784)","0.651 (0.605, 0.697)","-0.082 (-0.147, -0.03)",-0.082,-,106
phecode_466-4,Hypertrophy of tonsils and adenoids,Resp,"0.715 (0.693, 0.738)","0.733 (0.693, 0.762)","0.016 (-0.018, 0.05)",0.016,ns,338
phecode_467,Laryngitis and tracheitis,Resp,"0.589 (0.567, 0.62)","0.704 (0.688, 0.726)","0.119 (0.086, 0.147)",0.119,+,726
phecode_467-1,Acute laryngitis and tracheitis,Resp,"0.599 (0.582, 0.629)","0.704 (0.68, 0.729)","0.104 (0.074, 0.147)",0.104,+,591
phecode_467-2,Chronic laryngitis and tracheitis,Resp,"0.608 (0.568, 0.653)","0.741 (0.715, 0.795)","0.139 (0.095, 0.204)",0.139,+,165
phecode_468,Pneumonia,Resp,"0.589 (0.583, 0.597)","0.7 (0.694, 0.707)","0.111 (0.105, 0.117)",0.111,+,7131
phecode_468-1,Viral pneumonia,Resp,"0.569 (0.554, 0.584)","0.728 (0.712, 0.74)","0.158 (0.148, 0.173)",0.158,+,2102
phecode_468-14,Influenza with pneumonia,Resp,"0.531 (0.497, 0.58)","0.8 (0.758, 0.837)","0.268 (0.221, 0.317)",0.268,+,175
phecode_468-2,Bacterial pneumonia,Resp,"0.619 (0.603, 0.635)","0.793 (0.771, 0.81)","0.173 (0.151, 0.196)",0.173,+,1207
phecode_468-23,Pneumonia due to Pseudomonas,Resp,"0.618 (0.575, 0.675)","0.845 (0.784, 0.885)","0.222 (0.162, 0.288)",0.222,+,133
phecode_468-25,Pneumonia due to Streptococcus,Resp,"0.625 (0.567, 0.667)","0.793 (0.758, 0.834)","0.169 (0.114, 0.243)",0.169,+,156
phecode_468-26,Pneumonia due to Staphylococcus,Resp,"0.603 (0.55, 0.644)","0.821 (0.778, 0.863)","0.221 (0.172, 0.273)",0.221,+,199
phecode_468-8,Bronchopneumonia,Resp,"0.621 (0.578, 0.661)","0.754 (0.69, 0.784)","0.131 (0.071, 0.188)",0.131,+,150
phecode_468-9,Lobar pneumonia*,Resp,"0.59 (0.582, 0.596)","0.7 (0.693, 0.706)","0.11 (0.102, 0.118)",0.11,+,6237
phecode_469,Bronchitis,Resp,"0.547 (0.54, 0.557)","0.667 (0.658, 0.676)","0.119 (0.11, 0.129)",0.119,+,4820
phecode_469-1,Acute bronchitis,Resp,"0.591 (0.533, 0.651)","0.776 (0.741, 0.812)","0.191 (0.114, 0.232)",0.191,+,184
phecode_469-2,Chronic bronchitis,Resp,"0.658 (0.638, 0.669)","0.8 (0.782, 0.82)","0.144 (0.12, 0.165)",0.144,+,923
phecode_470,Acute bronchiolitis,Resp,"0.634 (0.594, 0.679)","0.793 (0.768, 0.812)","0.158 (0.095, 0.215)",0.158,+,328
phecode_471,Other disorders of nose and nasal sinuses,Resp,"0.536 (0.528, 0.543)","0.666 (0.661, 0.674)","0.131 (0.124, 0.138)",0.131,+,9258
phecode_471-1,Cyst and mucocele of nose and nasal sinus*,Resp,"0.529 (0.501, 0.568)","0.633 (0.591, 0.669)","0.104 (0.066, 0.157)",0.104,+,273
phecode_471-2,Deviated nasal septum,Resp,"0.532 (0.512, 0.545)","0.659 (0.648, 0.676)","0.128 (0.109, 0.15)",0.128,+,1654
phecode_471-3,Hypertrophy of nasal turbinates,Resp,"0.537 (0.508, 0.56)","0.685 (0.666, 0.719)","0.15 (0.126, 0.181)",0.15,+,952
phecode_471-5,Nasal polyps,Resp,"0.545 (0.505, 0.585)","0.716 (0.687, 0.746)","0.172 (0.103, 0.225)",0.172,+,338
phecode_472,"Diseases of vocal cords and larynx, not elsewhere classified",Resp,"0.596 (0.584, 0.615)","0.663 (0.647, 0.673)","0.066 (0.048, 0.079)",0.066,+,1951
phecode_472-1,Paralysis of vocal cords and larynx,Resp,"0.641 (0.605, 0.675)","0.735 (0.708, 0.765)","0.093 (0.052, 0.136)",0.093,+,276
phecode_472-2,Polyp of vocal cord and larynx,Resp,"0.662 (0.592, 0.718)","0.79 (0.741, 0.821)","0.123 (0.061, 0.176)",0.123,+,103
phecode_472-3,Edema of larynx,Resp,"0.585 (0.54, 0.655)","0.764 (0.73, 0.821)","0.182 (0.102, 0.254)",0.182,+,164
phecode_472-4,Laryngeal spasm,Resp,"0.609 (0.546, 0.659)","0.666 (0.609, 0.718)","0.062 (-0.018, 0.128)",0.062,ns,113
phecode_473,Other diseases of upper respiratory tract,Resp,"0.553 (0.547, 0.557)","0.597 (0.591, 0.602)","0.044 (0.037, 0.053)",0.044,+,16277
phecode_474,Chronic obstructive pulmonary disease [COPD],Resp,"0.661 (0.65, 0.666)","0.76 (0.754, 0.767)","0.1 (0.092, 0.11)",0.1,+,4462
phecode_474-1,Emphysema,Resp,"0.712 (0.697, 0.721)","0.826 (0.815, 0.836)","0.116 (0.101, 0.129)",0.116,+,1989
phecode_474-13,Centrilobular emphysema*,Resp,"0.74 (0.719, 0.756)","0.868 (0.854, 0.887)","0.129 (0.109, 0.148)",0.129,+,753
phecode_475,Asthma,Resp,"0.573 (0.566, 0.582)","0.596 (0.588, 0.608)","0.023 (0.011, 0.033)",0.023,+,6018
phecode_475-5,Exercise induced bronchospasm,Resp,"0.68 (0.633, 0.723)","0.656 (0.622, 0.703)","-0.024 (-0.065, 0.029)",-0.024,ns,273
phecode_476,Bronchiectasis,Resp,"0.723 (0.707, 0.735)","0.822 (0.808, 0.833)","0.1 (0.083, 0.123)",0.1,+,874
phecode_477,Inhalation lung injury,Resp,"0.632 (0.616, 0.644)","0.746 (0.735, 0.76)","0.115 (0.104, 0.132)",0.115,+,1406
phecode_478,Aspiration pneumonia,Resp,"0.615 (0.583, 0.659)","0.766 (0.74, 0.795)","0.15 (0.117, 0.194)",0.15,+,249
phecode_479,Pulmonary insufficiency and acute respiratory distress syndrome,Resp,"0.634 (0.625, 0.64)","0.756 (0.751, 0.762)","0.123 (0.116, 0.13)",0.123,+,6611
phecode_479-1,Acute respiratory distress syndrome [ARDS]*,Resp,"0.597 (0.565, 0.637)","0.761 (0.731, 0.788)","0.167 (0.108, 0.195)",0.167,+,315
phecode_479-3,Respiratory failure,Resp,"0.626 (0.616, 0.633)","0.784 (0.775, 0.79)","0.158 (0.145, 0.169)",0.158,+,4644
phecode_479-31,Acute respiratory failure,Resp,"0.619 (0.609, 0.626)","0.787 (0.777, 0.793)","0.168 (0.153, 0.18)",0.168,+,4049
phecode_479-6,Pulmonary collapse [Atelectasis],Resp,"0.648 (0.637, 0.657)","0.764 (0.755, 0.77)","0.116 (0.103, 0.126)",0.116,+,3647
phecode_480,Pulmonary edema,Resp,"0.637 (0.623, 0.647)","0.816 (0.805, 0.824)","0.179 (0.17, 0.198)",0.179,+,1674
phecode_480-1,Acute pulmonary edema,Resp,"0.634 (0.602, 0.663)","0.825 (0.804, 0.851)","0.191 (0.163, 0.227)",0.191,+,585
phecode_480-2,Chronic pulmonary edema,Resp,"0.637 (0.623, 0.647)","0.799 (0.788, 0.809)","0.161 (0.152, 0.182)",0.161,+,1673
phecode_481,Interstitial pulmonary diseases,Resp,"0.664 (0.649, 0.679)","0.751 (0.739, 0.766)","0.088 (0.074, 0.096)",0.088,+,1801
phecode_481-4,Pulmonary fibrosis,Resp,"0.698 (0.68, 0.719)","0.749 (0.732, 0.766)","0.052 (0.033, 0.062)",0.052,+,1117
phecode_481-42,Idiopathic pulmonary fibrosis,Resp,"0.799 (0.764, 0.821)","0.828 (0.79, 0.872)","0.034 (-0.022, 0.08)",0.034,ns,115
phecode_482,Suppurative and necrotic conditions of the lower respiratory tract,Resp,"0.622 (0.589, 0.677)","0.761 (0.729, 0.793)","0.139 (0.079, 0.192)",0.139,+,257
phecode_482-1,Abscess of lung and mediastinum,Resp,"0.63 (0.549, 0.689)","0.769 (0.718, 0.819)","0.135 (0.05, 0.229)",0.135,+,109
phecode_482-2,Pyothorax (empyema),Resp,"0.633 (0.592, 0.691)","0.743 (0.704, 0.777)","0.108 (0.056, 0.166)",0.108,+,175
phecode_483,Pleural effusion,Resp,"0.655 (0.646, 0.666)","0.777 (0.768, 0.788)","0.123 (0.112, 0.131)",0.123,+,3079
phecode_484,Pneumothorax and air leak,Resp,"0.653 (0.628, 0.675)","0.762 (0.75, 0.781)","0.111 (0.093, 0.138)",0.111,+,886
phecode_484-4,Interstitial emphysema [Pneumomediastinum],Resp,"0.615 (0.56, 0.672)","0.741 (0.702, 0.803)","0.127 (0.058, 0.191)",0.127,+,140
phecode_485,Chronic respiratory failure,Resp,"0.66 (0.644, 0.678)","0.871 (0.858, 0.882)","0.211 (0.187, 0.232)",0.211,+,1402
phecode_486,Other respiratory disorders,Resp,"0.502 (0.5, 0.506)","0.553 (0.549, 0.557)","0.051 (0.045, 0.056)",0.051,+,19385
phecode_486-2,Other diseases of bronchus,Resp,"0.559 (0.546, 0.567)","0.661 (0.651, 0.668)","0.101 (0.095, 0.111)",0.101,+,5939
phecode_486-21,Bronchospasm,Resp,"0.572 (0.551, 0.592)","0.7 (0.681, 0.726)","0.129 (0.093, 0.157)",0.129,+,792
phecode_486-3,Other diseases of mediastinum,Resp,"0.652 (0.61, 0.706)","0.712 (0.651, 0.74)","0.057 (0.005, 0.095)",0.057,+,153
phecode_486-4,Disorders of diaphragm,Resp,"0.68 (0.658, 0.711)","0.759 (0.737, 0.784)","0.078 (0.051, 0.104)",0.078,+,538
phecode_486-41,Hiccough,Resp,"0.718 (0.681, 0.76)","0.723 (0.688, 0.772)","0.006 (-0.033, 0.038)",0.006,ns,209
phecode_486-5,Abnormal sputum,Resp,"0.618 (0.533, 0.687)","0.73 (0.673, 0.782)","0.108 (0.037, 0.183)",0.108,+,134
phecode_487,Hemorrhage from respiratory passages,Resp,"0.585 (0.571, 0.599)","0.713 (0.702, 0.724)","0.128 (0.119, 0.14)",0.128,+,2384
phecode_487-1,Epistaxis,Resp,"0.598 (0.583, 0.618)","0.708 (0.692, 0.721)","0.108 (0.092, 0.122)",0.108,+,1648
phecode_487-3,Hemoptysis,Resp,"0.579 (0.559, 0.597)","0.753 (0.737, 0.768)","0.173 (0.154, 0.195)",0.173,+,859
phecode_488,Abnormalities of breathing,Resp,"0.551 (0.546, 0.556)","0.654 (0.65, 0.66)","0.103 (0.098, 0.108)",0.103,+,15404
phecode_488-1,Dyspnea [Shortness of breath],Resp,"0.565 (0.559, 0.57)","0.665 (0.66, 0.671)","0.101 (0.096, 0.105)",0.101,+,14137
phecode_488-11,Orthopnea,Resp,"0.604 (0.572, 0.627)","0.791 (0.763, 0.816)","0.188 (0.16, 0.218)",0.188,+,454
phecode_488-6,Wheezing,Resp,"0.568 (0.555, 0.582)","0.73 (0.715, 0.741)","0.163 (0.14, 0.176)",0.163,+,2096
phecode_488-8,Mouth breathing*,Resp,"0.521 (0.507, 0.53)","0.681 (0.672, 0.689)","0.159 (0.146, 0.177)",0.159,+,3994
phecode_488-9,Obesity hypoventilation syndrome [OHS],Resp,"0.544 (0.519, 0.583)","0.862 (0.846, 0.886)","0.319 (0.268, 0.359)",0.319,+,472
phecode_491,Pleurisy,Resp,"0.603 (0.582, 0.624)","0.71 (0.687, 0.728)","0.105 (0.084, 0.123)",0.105,+,888
phecode_494,Voice disturbance,Resp,"0.647 (0.629, 0.658)","0.73 (0.716, 0.742)","0.083 (0.072, 0.094)",0.083,+,1892
phecode_495,Abnormal findings on diagnostic imaging of lung,Resp,"0.624 (0.617, 0.63)","0.702 (0.697, 0.707)","0.078 (0.073, 0.082)",0.078,+,10726
phecode_495-1,Solitary pulmonary nodule,Resp,"0.682 (0.674, 0.69)","0.733 (0.726, 0.741)","0.051 (0.045, 0.058)",0.051,+,4027
phecode_496,Abnormal results of pulmonary function studies,Resp,"0.665 (0.65, 0.687)","0.747 (0.718, 0.768)","0.081 (0.057, 0.109)",0.081,+,484
phecode_498,Asphyxia and hypoxemia,Resp,"0.623 (0.611, 0.632)","0.773 (0.757, 0.782)","0.149 (0.138, 0.16)",0.149,+,3429
phecode_500,Disorders of tooth develoment,GI,"0.605 (0.57, 0.634)","0.595 (0.559, 0.623)","-0.013 (-0.055, 0.031)",-0.013,ns,382
phecode_500-4,Disturbances in tooth eruption,GI,"0.751 (0.708, 0.78)","0.59 (0.547, 0.634)","-0.159 (-0.217, -0.101)",-0.159,-,221
phecode_500-41,Impacted teeth*,GI,"0.764 (0.715, 0.809)","0.619 (0.574, 0.667)","-0.146 (-0.208, -0.068)",-0.146,-,175
phecode_501,Dental caries,GI,"0.547 (0.535, 0.563)","0.618 (0.596, 0.628)","0.069 (0.035, 0.087)",0.069,+,2540
phecode_502,Other diseases of teeth and supporting structures,GI,"0.552 (0.538, 0.571)","0.633 (0.62, 0.646)","0.079 (0.058, 0.103)",0.079,+,1491
phecode_502-6,Loss of teeth and edentulism,GI,"0.603 (0.582, 0.615)","0.628 (0.606, 0.651)","0.026 (0.003, 0.044)",0.026,+,929
phecode_503,Diseases of pulp and periapical tissues,GI,"0.564 (0.55, 0.572)","0.659 (0.647, 0.671)","0.096 (0.078, 0.12)",0.096,+,2077
phecode_503-5,Periapical abscess,GI,"0.572 (0.555, 0.583)","0.661 (0.648, 0.674)","0.09 (0.072, 0.111)",0.09,+,1674
phecode_504,Periodontal diseases,GI,"0.532 (0.518, 0.541)","0.621 (0.609, 0.631)","0.088 (0.069, 0.105)",0.088,+,3382
phecode_504-1,Gingivitis,GI,"0.539 (0.519, 0.555)","0.612 (0.598, 0.64)","0.074 (0.048, 0.11)",0.074,+,1112
phecode_504-3,Periodontitis,GI,"0.521 (0.5, 0.543)","0.59 (0.563, 0.613)","0.068 (0.035, 0.092)",0.068,+,884
phecode_504-32,Chronic periodontitis,GI,"0.523 (0.502, 0.546)","0.581 (0.553, 0.606)","0.058 (0.023, 0.085)",0.058,+,829
phecode_505,Oral cysts,GI,"0.547 (0.505, 0.599)","0.587 (0.509, 0.631)","0.031 (-0.054, 0.101)",0.031,ns,107
phecode_506,Diseases of salivary glands,GI,"0.622 (0.605, 0.638)","0.724 (0.713, 0.741)","0.103 (0.086, 0.122)",0.103,+,1617
phecode_506-3,Sialoadenitis,GI,"0.608 (0.568, 0.632)","0.701 (0.667, 0.729)","0.091 (0.046, 0.133)",0.091,+,404
phecode_506-4,Sialolithiasis,GI,"0.593 (0.538, 0.665)","0.681 (0.584, 0.733)","0.089 (-0.008, 0.169)",0.089,ns,116
phecode_506-5,Disturbances of salivary secretion,GI,"0.642 (0.622, 0.66)","0.745 (0.733, 0.759)","0.102 (0.085, 0.121)",0.102,+,1141
phecode_507,Lesions of mouth,GI,"0.518 (0.513, 0.525)","0.624 (0.616, 0.629)","0.106 (0.098, 0.111)",0.106,+,10099
phecode_507-1,Stomatitis,GI,"0.556 (0.537, 0.58)","0.669 (0.649, 0.69)","0.112 (0.094, 0.133)",0.112,+,1167
phecode_507-11,Recurrent oral aphthae [Recurrent aphthous stomatitis],GI,"0.546 (0.52, 0.581)","0.685 (0.654, 0.717)","0.136 (0.095, 0.177)",0.136,+,415
phecode_507-3,Oral leukoplakia,GI,"0.717 (0.698, 0.761)","0.671 (0.641, 0.708)","-0.048 (-0.092, -0.011)",-0.048,-,309
phecode_508,Diseases of lips,GI,"0.571 (0.553, 0.581)","0.665 (0.652, 0.679)","0.097 (0.077, 0.111)",0.097,+,1521
phecode_509,Diseases of tongue,GI,"0.577 (0.549, 0.598)","0.706 (0.679, 0.726)","0.125 (0.107, 0.15)",0.125,+,853
phecode_509-1,Glossitis,GI,"0.594 (0.551, 0.625)","0.724 (0.678, 0.754)","0.13 (0.098, 0.169)",0.13,+,410
phecode_509-11,Glossodynia,GI,"0.613 (0.573, 0.665)","0.736 (0.686, 0.769)","0.118 (0.071, 0.153)",0.118,+,238
phecode_510,Diseases of esophagus,GI,"0.567 (0.563, 0.574)","0.655 (0.65, 0.661)","0.089 (0.082, 0.096)",0.089,+,12893
phecode_510-1,Achalasia of cardia,GI,"0.621 (0.561, 0.68)","0.749 (0.701, 0.808)","0.132 (0.042, 0.19)",0.132,+,120
phecode_510-2,Esophagitis,GI,"0.572 (0.56, 0.58)","0.718 (0.708, 0.725)","0.147 (0.136, 0.161)",0.147,+,3461
phecode_510-5,Dyskinesia of esophagus,GI,"0.67 (0.651, 0.686)","0.789 (0.763, 0.806)","0.118 (0.093, 0.143)",0.118,+,851
phecode_510-8,Barrett's esophagus,GI,"0.677 (0.659, 0.704)","0.748 (0.728, 0.765)","0.07 (0.045, 0.091)",0.07,+,646
phecode_511,Gastro-esophageal reflux disease,GI,"0.562 (0.558, 0.568)","0.652 (0.646, 0.658)","0.09 (0.084, 0.096)",0.09,+,12539
phecode_512,Dysphagia,GI,"0.616 (0.607, 0.621)","0.717 (0.711, 0.724)","0.101 (0.094, 0.111)",0.101,+,5542
phecode_513,Peptic ulcer,GI,"0.594 (0.584, 0.609)","0.719 (0.709, 0.73)","0.125 (0.111, 0.136)",0.125,+,2378
phecode_513-1,Esophageal ulcer,GI,"0.617 (0.581, 0.641)","0.758 (0.722, 0.783)","0.143 (0.118, 0.173)",0.143,+,439
phecode_513-2,Gastric ulcer,GI,"0.609 (0.595, 0.628)","0.743 (0.722, 0.759)","0.133 (0.114, 0.151)",0.133,+,1235
phecode_513-3,Duodenal ulcer,GI,"0.666 (0.642, 0.692)","0.756 (0.735, 0.774)","0.091 (0.066, 0.125)",0.091,+,527
phecode_513-4,Gastrojejunal ulcer,GI,"0.606 (0.563, 0.657)","0.798 (0.758, 0.827)","0.193 (0.134, 0.242)",0.193,+,164
phecode_514,Gastrointestinal obstruction,GI,"0.62 (0.605, 0.632)","0.733 (0.719, 0.748)","0.113 (0.098, 0.128)",0.113,+,2974
phecode_514-1,Esophageal obstruction (Stricture and stenosis of esophagus),GI,"0.667 (0.647, 0.686)","0.736 (0.715, 0.755)","0.07 (0.053, 0.086)",0.07,+,951
phecode_514-2,Intestinal obstruction,GI,"0.599 (0.584, 0.612)","0.741 (0.724, 0.756)","0.142 (0.126, 0.158)",0.142,+,2180
phecode_514-21,Impaction of intestine,GI,"0.615 (0.571, 0.654)","0.777 (0.747, 0.808)","0.166 (0.115, 0.191)",0.166,+,330
phecode_514-3,Ileus,GI,"0.58 (0.525, 0.645)","0.777 (0.719, 0.813)","0.193 (0.134, 0.278)",0.193,+,113
phecode_514-31,Paralytic ileus,GI,"0.58 (0.519, 0.645)","0.76 (0.711, 0.814)","0.176 (0.12, 0.254)",0.176,+,111
phecode_515,Heartburn and epigastric pain,GI,"0.555 (0.547, 0.562)","0.663 (0.656, 0.67)","0.108 (0.096, 0.119)",0.108,+,7395
phecode_516,Other diseases of stomach and duodenum,GI,"0.558 (0.554, 0.567)","0.638 (0.633, 0.642)","0.079 (0.074, 0.085)",0.079,+,13758
phecode_516-1,Pyloric stenosis,GI,"0.555 (0.512, 0.615)","0.799 (0.757, 0.838)","0.242 (0.184, 0.278)",0.242,+,135
