endpoint,phecode_string,phecode_category,Age+Sex,Age+Sex+MedicalHistory,delta_agesex,sign_agesex,delta_median_agesex,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events,sign_agg,label
phecode_684,Diseases of hair and hair follicles,Derm,"0.677 (0.672, 0.683)","0.788 (0.783, 0.793)","0.111 (0.106, 0.115)",+,0.111,"0.638 (0.628, 0.647)","0.691 (0.683, 0.704)","0.054 (0.042, 0.066)",0.054,+,2994,UKB: + | AoU: +,++
phecode_684-1,Alopecia,Derm,"0.67 (0.665, 0.676)","0.787 (0.782, 0.791)","0.116 (0.111, 0.122)",+,0.116,"0.623 (0.613, 0.637)","0.696 (0.685, 0.708)","0.072 (0.057, 0.086)",0.072,+,2661,UKB: + | AoU: +,++
phecode_684-11,Alopecia Areata,Derm,"0.667 (0.657, 0.674)","0.795 (0.788, 0.802)","0.129 (0.12, 0.138)",+,0.129,"0.631 (0.592, 0.683)","0.657 (0.604, 0.73)","0.026 (-0.047, 0.113)",0.026,ns,183,UKB: + | AoU: ns,+ns
phecode_684-12,Telogen effluvium,Derm,"0.697 (0.671, 0.724)","0.846 (0.822, 0.865)","0.149 (0.123, 0.183)",+,0.149,"0.682 (0.673, 0.709)","0.779 (0.755, 0.804)","0.097 (0.068, 0.129)",0.097,+,305,UKB: + | AoU: +,++
phecode_684-13,Scarring hair loss*,Derm,"0.583 (0.552, 0.61)","0.724 (0.696, 0.75)","0.142 (0.106, 0.176)",+,0.142,"0.652 (0.607, 0.687)","0.739 (0.698, 0.794)","0.089 (0.011, 0.145)",0.089,+,154,UKB: + | AoU: +,++
phecode_684-14,Androgenic alopecia*,Derm,"0.625 (0.597, 0.649)","0.778 (0.755, 0.804)","0.155 (0.133, 0.172)",+,0.155,"0.557 (0.49, 0.61)","0.682 (0.657, 0.72)","0.129 (0.085, 0.184)",0.129,+,376,UKB: + | AoU: +,++
phecode_684-2,Hypertrichosis and hirsutism,Derm,"0.767 (0.75, 0.788)","0.842 (0.829, 0.859)","0.075 (0.058, 0.093)",+,0.075,"0.778 (0.745, 0.803)","0.722 (0.678, 0.748)","-0.059 (-0.096, -0.022)",-0.059,-,422,UKB: + | AoU: -,+-
phecode_685,Disorders of sweat glands,Derm,"0.536 (0.531, 0.541)","0.721 (0.717, 0.726)","0.186 (0.179, 0.193)",+,0.186,"0.521 (0.505, 0.534)","0.69 (0.668, 0.702)","0.169 (0.144, 0.184)",0.169,+,2074,UKB: + | AoU: +,++
phecode_685-8,Hyperhidrosis,Derm,"0.52 (0.514, 0.527)","0.73 (0.725, 0.738)","0.21 (0.204, 0.219)",+,0.21,"0.519 (0.506, 0.532)","0.689 (0.669, 0.701)","0.17 (0.148, 0.185)",0.17,+,1889,UKB: + | AoU: +,++
phecode_685-82,Generalized hyperhidrosis,Derm,"0.52 (0.513, 0.526)","0.731 (0.725, 0.736)","0.211 (0.203, 0.219)",+,0.211,"0.519 (0.506, 0.532)","0.689 (0.669, 0.701)","0.17 (0.148, 0.185)",0.17,+,1889,UKB: + | AoU: +,++
phecode_686,Chronic ulcer of skin,Derm,"0.677 (0.671, 0.683)","0.789 (0.783, 0.794)","0.111 (0.105, 0.118)",+,0.111,"0.649 (0.634, 0.656)","0.792 (0.783, 0.805)","0.144 (0.132, 0.163)",0.144,+,2582,UKB: + | AoU: +,++
phecode_686-1,Pressure ulcer,Derm,"0.707 (0.698, 0.717)","0.824 (0.815, 0.831)","0.117 (0.106, 0.13)",+,0.117,"0.672 (0.655, 0.688)","0.834 (0.822, 0.847)","0.162 (0.143, 0.181)",0.162,+,911,UKB: + | AoU: +,++
phecode_686-2,Non-pressure chronic ulcer,Derm,"0.662 (0.653, 0.669)","0.799 (0.794, 0.804)","0.136 (0.13, 0.143)",+,0.136,"0.648 (0.633, 0.656)","0.798 (0.788, 0.811)","0.151 (0.138, 0.171)",0.151,+,2571,UKB: + | AoU: +,++
phecode_688,Granulomatous disorder of the skin,Derm,"0.511 (0.501, 0.521)","0.623 (0.612, 0.632)","0.112 (0.103, 0.122)",+,0.112,"0.565 (0.537, 0.588)","0.627 (0.606, 0.659)","0.063 (0.024, 0.105)",0.063,+,545,UKB: + | AoU: +,++
phecode_688-1,Sarcoidosis,Derm,"0.511 (0.482, 0.536)","0.597 (0.58, 0.611)","0.084 (0.062, 0.121)",+,0.084,"0.559 (0.529, 0.61)","0.619 (0.576, 0.665)","0.055 (-0.009, 0.13)",0.055,ns,236,UKB: + | AoU: ns,+ns
phecode_688-3,Pyogenic granuloma of skin and subcutaneous tissue,Derm,"0.51 (0.497, 0.529)","0.634 (0.619, 0.65)","0.124 (0.104, 0.147)",+,0.124,"0.556 (0.502, 0.623)","0.653 (0.615, 0.728)","0.1 (0.046, 0.147)",0.1,+,114,UKB: + | AoU: +,++
phecode_700,Diffuse diseases of connective tissue,Musc/Skel,"0.628 (0.618, 0.638)","0.727 (0.717, 0.737)","0.099 (0.085, 0.11)",+,0.099,"0.587 (0.573, 0.607)","0.671 (0.66, 0.684)","0.083 (0.058, 0.102)",0.083,+,2114,UKB: + | AoU: +,++
phecode_700-1,Lupus,Musc/Skel,"0.634 (0.611, 0.656)","0.722 (0.702, 0.746)","0.087 (0.069, 0.111)",+,0.087,"0.648 (0.623, 0.67)","0.705 (0.669, 0.726)","0.058 (0.019, 0.096)",0.058,+,485,UKB: + | AoU: +,++
phecode_700-11,Systemic lupus erythematosus [SLE],Musc/Skel,"0.653 (0.625, 0.677)","0.796 (0.771, 0.821)","0.143 (0.109, 0.171)",+,0.143,"0.646 (0.617, 0.678)","0.731 (0.703, 0.753)","0.084 (0.037, 0.136)",0.084,+,472,UKB: + | AoU: +,++
