endpoint,phecode_string,phecode_category,Age+Sex,Age+Sex+MedicalHistory,delta_agesex,sign_agesex,delta_median_agesex,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events,sign_agg,label
phecode_200-12,Hypothyroidism due to drugs or iatrogenic causes,Endo,"0.55 (0.498, 0.601)","0.793 (0.759, 0.836)","0.246 (0.178, 0.299)",+,0.246,"0.699 (0.671, 0.739)","0.793 (0.765, 0.823)","0.097 (0.053, 0.14)",0.097,+,227,UKB: + | AoU: +,++
phecode_200-13,Postprocedural hypothyroidism,Endo,"0.68 (0.664, 0.689)","0.84 (0.829, 0.858)","0.161 (0.148, 0.179)",+,0.161,"0.655 (0.63, 0.675)","0.822 (0.809, 0.836)","0.167 (0.143, 0.189)",0.167,+,1003,UKB: + | AoU: +,++
phecode_200-14,"Hypothyroidism, not specified as secondary",Endo,"0.646 (0.642, 0.65)","0.714 (0.71, 0.718)","0.068 (0.063, 0.071)",+,0.068,"0.623 (0.616, 0.633)","0.655 (0.642, 0.668)","0.031 (0.019, 0.046)",0.031,+,4778,UKB: + | AoU: +,++
phecode_200-2,Goiter,Endo,"0.634 (0.628, 0.639)","0.685 (0.678, 0.691)","0.051 (0.046, 0.058)",+,0.051,"0.634 (0.622, 0.643)","0.649 (0.636, 0.658)","0.015 (0.002, 0.026)",0.015,+,3486,UKB: + | AoU: +,++
phecode_200-21,Diffuse goiter,Endo,"0.654 (0.642, 0.665)","0.707 (0.692, 0.72)","0.052 (0.036, 0.064)",+,0.052,"0.638 (0.625, 0.647)","0.631 (0.62, 0.644)","-0.007 (-0.018, 0.011)",-0.007,ns,3424,UKB: + | AoU: ns,+ns
phecode_200-22,Uninodular goiter [single thyroid nodule],Endo,"0.615 (0.604, 0.627)","0.686 (0.673, 0.695)","0.071 (0.058, 0.08)",+,0.071,"0.648 (0.638, 0.659)","0.687 (0.672, 0.696)","0.038 (0.022, 0.052)",0.038,+,2636,UKB: + | AoU: +,++
phecode_200-23,Multinodular goiter,Endo,"0.676 (0.668, 0.687)","0.719 (0.71, 0.728)","0.043 (0.031, 0.05)",+,0.043,"0.684 (0.665, 0.696)","0.718 (0.704, 0.733)","0.033 (0.019, 0.054)",0.033,+,1736,UKB: + | AoU: +,++
phecode_200-3,Thyrotoxicosis [hyperthyroidism],Endo,"0.625 (0.616, 0.634)","0.693 (0.682, 0.702)","0.067 (0.059, 0.075)",+,0.067,"0.601 (0.587, 0.628)","0.658 (0.638, 0.675)","0.054 (0.032, 0.083)",0.054,+,1101,UKB: + | AoU: +,++
phecode_200-31,Graves' disease [Toxic diffuse goiter],Endo,"0.647 (0.627, 0.659)","0.692 (0.677, 0.707)","0.045 (0.03, 0.06)",+,0.045,"0.606 (0.576, 0.622)","0.681 (0.644, 0.713)","0.078 (0.035, 0.117)",0.078,+,414,UKB: + | AoU: +,++
phecode_200-4,Thyroiditis,Endo,"0.648 (0.632, 0.665)","0.722 (0.699, 0.751)","0.075 (0.054, 0.091)",+,0.075,"0.638 (0.62, 0.659)","0.74 (0.724, 0.758)","0.1 (0.079, 0.128)",0.1,+,1092,UKB: + | AoU: +,++
phecode_200-41,Hashimoto thyroiditis [Chronic lymphocytic thyroiditis],Endo,"0.653 (0.622, 0.67)","0.735 (0.717, 0.764)","0.082 (0.064, 0.111)",+,0.082,"0.647 (0.628, 0.67)","0.754 (0.74, 0.777)","0.108 (0.083, 0.136)",0.108,+,949,UKB: + | AoU: +,++
phecode_200-7,Iodine-deficiency related thyroid disorders*,Endo,"0.573 (0.564, 0.584)","0.66 (0.652, 0.668)","0.086 (0.08, 0.094)",+,0.086,"0.583 (0.549, 0.609)","0.644 (0.61, 0.68)","0.06 (0.018, 0.104)",0.06,+,455,UKB: + | AoU: +,++
phecode_200-9,Abnormal thyroid function studies,Endo,"0.591 (0.581, 0.603)","0.733 (0.721, 0.744)","0.141 (0.128, 0.152)",+,0.141,"0.593 (0.575, 0.608)","0.667 (0.643, 0.689)","0.076 (0.048, 0.098)",0.076,+,853,UKB: + | AoU: +,++
phecode_202,Diabetes mellitus,Endo,"0.601 (0.598, 0.604)","0.716 (0.714, 0.719)","0.115 (0.113, 0.119)",+,0.115,"0.564 (0.558, 0.574)","0.654 (0.647, 0.664)","0.09 (0.084, 0.098)",0.09,+,7653,UKB: + | AoU: +,++
phecode_202-1,Type 1 diabetes,Endo,"0.609 (0.6, 0.618)","0.87 (0.862, 0.876)","0.261 (0.248, 0.273)",+,0.261,"0.552 (0.534, 0.576)","0.851 (0.829, 0.867)","0.297 (0.258, 0.331)",0.297,+,854,UKB: + | AoU: +,++
phecode_202-2,Type 2 diabetes,Endo,"0.601 (0.599, 0.604)","0.719 (0.716, 0.722)","0.118 (0.115, 0.123)",+,0.118,"0.565 (0.56, 0.575)","0.655 (0.648, 0.664)","0.089 (0.083, 0.097)",0.089,+,7618,UKB: + | AoU: +,++
phecode_202-3,Secondary diabetes,Endo,"0.577 (0.537, 0.623)","0.749 (0.707, 0.781)","0.17 (0.124, 0.218)",+,0.17,"0.563 (0.507, 0.596)","0.812 (0.774, 0.846)","0.25 (0.194, 0.301)",0.25,+,193,UKB: + | AoU: +,++
phecode_202-32,Drug or chemical induced diabetes mellitus*,Endo,"0.577 (0.531, 0.646)","0.761 (0.708, 0.795)","0.184 (0.079, 0.229)",+,0.184,"0.562 (0.506, 0.596)","0.81 (0.767, 0.844)","0.247 (0.189, 0.298)",0.247,+,192,UKB: + | AoU: +,++
phecode_202-4,Other specified diabetes*,Endo,"0.603 (0.6, 0.605)","0.862 (0.86, 0.863)","0.259 (0.256, 0.262)",+,0.259,"0.588 (0.575, 0.605)","0.826 (0.805, 0.843)","0.237 (0.215, 0.256)",0.237,+,1354,UKB: + | AoU: +,++
phecode_203,Metabolic syndrome [Dysmetabolic syndrome X],Endo,"0.506 (0.461, 0.542)","0.79 (0.756, 0.822)","0.283 (0.233, 0.337)",+,0.283,"0.533 (0.51, 0.572)","0.708 (0.688, 0.732)","0.174 (0.14, 0.207)",0.174,+,705,UKB: + | AoU: +,++
phecode_204,Elevated blood glucose level,Endo,"0.576 (0.572, 0.58)","0.72 (0.717, 0.722)","0.144 (0.141, 0.148)",+,0.144,"0.593 (0.588, 0.598)","0.656 (0.65, 0.662)","0.063 (0.057, 0.068)",0.063,+,14271,UKB: + | AoU: +,++
phecode_204-1,Impaired fasting glucose,Endo,"0.6 (0.591, 0.606)","0.75 (0.746, 0.756)","0.15 (0.145, 0.159)",+,0.15,"0.639 (0.622, 0.648)","0.7 (0.682, 0.709)","0.061 (0.046, 0.074)",0.061,+,2064,UKB: + | AoU: +,++
phecode_204-2,Impaired glucose tolerance (oral),Endo,"0.583 (0.578, 0.589)","0.741 (0.736, 0.746)","0.158 (0.153, 0.164)",+,0.158,"0.594 (0.57, 0.62)","0.676 (0.651, 0.696)","0.082 (0.056, 0.099)",0.082,+,712,UKB: + | AoU: +,++
phecode_204-4,Prediabetes*,Endo,"0.515 (0.495, 0.54)","0.833 (0.815, 0.846)","0.319 (0.291, 0.336)",+,0.319,"0.598 (0.591, 0.61)","0.675 (0.665, 0.681)","0.077 (0.06, 0.089)",0.077,+,5781,UKB: + | AoU: +,++
phecode_205,Hypoglycemia,Endo,"0.628 (0.621, 0.638)","0.865 (0.858, 0.875)","0.237 (0.225, 0.248)",+,0.237,"0.554 (0.541, 0.572)","0.811 (0.799, 0.821)","0.256 (0.243, 0.268)",0.256,+,2497,UKB: + | AoU: +,++
phecode_208,Disorders of parathyroid gland,Endo,"0.669 (0.656, 0.68)","0.736 (0.723, 0.751)","0.068 (0.056, 0.078)",+,0.068,"0.649 (0.636, 0.667)","0.82 (0.809, 0.831)","0.171 (0.15, 0.186)",0.171,+,1933,UKB: + | AoU: +,++
phecode_208-1,Hypoparathyroidism,Endo,"0.56 (0.511, 0.603)","0.745 (0.71, 0.78)","0.183 (0.142, 0.227)",+,0.183,"0.62 (0.582, 0.661)","0.837 (0.803, 0.861)","0.218 (0.164, 0.259)",0.218,+,257,UKB: + | AoU: +,++
phecode_208-2,Hyperparathyroidism,Endo,"0.673 (0.663, 0.683)","0.741 (0.731, 0.751)","0.066 (0.055, 0.077)",+,0.066,"0.653 (0.641, 0.673)","0.825 (0.812, 0.837)","0.169 (0.15, 0.188)",0.169,+,1887,UKB: + | AoU: +,++
phecode_208-21,Primary hyperparathyroidism,Endo,"0.705 (0.695, 0.716)","0.727 (0.715, 0.74)","0.022 (0.01, 0.032)",+,0.022,"0.712 (0.686, 0.735)","0.754 (0.72, 0.785)","0.043 (0.015, 0.085)",0.043,+,382,UKB: + | AoU: +,++
phecode_208-22,Secondary hyperparathyroidism,Endo,"0.594 (0.561, 0.616)","0.831 (0.809, 0.848)","0.237 (0.207, 0.271)",+,0.237,"0.637 (0.623, 0.656)","0.878 (0.866, 0.888)","0.241 (0.223, 0.265)",0.241,+,1220,UKB: + | AoU: +,++
phecode_209,Disorders of the pituitary gland and its hypothalamic control,Endo,"0.607 (0.591, 0.622)","0.693 (0.677, 0.704)","0.086 (0.066, 0.104)",+,0.086,"0.527 (0.501, 0.544)","0.639 (0.622, 0.661)","0.111 (0.097, 0.128)",0.111,+,1093,UKB: + | AoU: +,++
phecode_209-1,Pituitary hyperfunction,Endo,"0.634 (0.604, 0.656)","0.711 (0.685, 0.729)","0.079 (0.057, 0.105)",+,0.079,"0.554 (0.526, 0.574)","0.677 (0.654, 0.706)","0.121 (0.099, 0.141)",0.121,+,653,UKB: + | AoU: +,++
phecode_209-12,Syndrome of inappropriate secretion of antidiuretic hormone,Endo,"0.705 (0.681, 0.734)","0.764 (0.743, 0.789)","0.059 (0.033, 0.081)",+,0.059,"0.662 (0.643, 0.683)","0.764 (0.742, 0.785)","0.098 (0.077, 0.124)",0.098,+,438,UKB: + | AoU: +,++
phecode_209-13,Hyperprolactinemia*,Endo,"0.576 (0.528, 0.626)","0.708 (0.644, 0.804)","0.139 (0.062, 0.201)",+,0.139,"0.662 (0.613, 0.709)","0.69 (0.635, 0.741)","0.029 (-0.053, 0.11)",0.029,ns,187,UKB: + | AoU: ns,+ns
phecode_209-2,Hypopituitarism,Endo,"0.615 (0.596, 0.633)","0.326 (0.302, 0.348)","-0.291 (-0.322, -0.258)",-,-0.291,"0.584 (0.534, 0.64)","0.285 (0.236, 0.326)","-0.3 (-0.37, -0.234)",-0.3,-,180,UKB: - | AoU: -,--
phecode_209-22,Hypopituitarism NOS,Endo,"0.652 (0.632, 0.673)","0.335 (0.314, 0.358)","-0.316 (-0.351, -0.277)",-,-0.316,"0.602 (0.553, 0.656)","0.258 (0.196, 0.328)","-0.347 (-0.413, -0.278)",-0.347,-,149,UKB: - | AoU: -,--
phecode_210,Cushing's syndrome,Endo,"0.585 (0.536, 0.644)","0.731 (0.658, 0.777)","0.143 (0.093, 0.186)",+,0.143,"0.623 (0.571, 0.662)","0.721 (0.654, 0.774)","0.098 (0.026, 0.181)",0.098,+,101,UKB: + | AoU: +,++
phecode_211,Disorders of adrenal glands,Endo,"0.563 (0.546, 0.581)","0.736 (0.724, 0.755)","0.174 (0.156, 0.193)",+,0.174,"0.597 (0.583, 0.615)","0.703 (0.688, 0.715)","0.105 (0.092, 0.122)",0.105,+,1594,UKB: + | AoU: +,++
phecode_211-2,Adrenocortical insufficiency,Endo,"0.541 (0.52, 0.56)","0.757 (0.735, 0.79)","0.217 (0.191, 0.246)",+,0.217,"0.571 (0.552, 0.596)","0.774 (0.755, 0.797)","0.203 (0.176, 0.232)",0.203,+,603,UKB: + | AoU: +,++
phecode_211-21,Primary adrenocortical insufficiency,Endo,"0.501 (0.466, 0.535)","0.654 (0.593, 0.7)","0.147 (0.09, 0.224)",+,0.147,"0.583 (0.508, 0.641)","0.801 (0.743, 0.859)","0.221 (0.13, 0.35)",0.221,+,100,UKB: + | AoU: +,++
phecode_214,Ovarian dysfunction,Endo,"0.704 (0.672, 0.737)","0.684 (0.66, 0.705)","-0.02 (-0.04, 0.006)",ns,-0.02,"0.538 (0.521, 0.559)","0.689 (0.677, 0.7)","0.149 (0.131, 0.17)",0.149,+,2026,UKB: ns | AoU: +,ns+
phecode_214-1,Primary ovarian failure,Endo,"0.706 (0.681, 0.731)","0.684 (0.663, 0.706)","-0.021 (-0.044, 0.003)",ns,-0.021,"0.716 (0.703, 0.731)","0.683 (0.671, 0.699)","-0.031 (-0.052, -0.007)",-0.031,-,1301,UKB: ns | AoU: -,ns-
phecode_214-11,Premature menopause,Endo,"0.698 (0.666, 0.728)","0.679 (0.652, 0.706)","-0.017 (-0.047, 0.003)",ns,-0.017,"0.514 (0.492, 0.56)","0.715 (0.67, 0.754)","0.198 (0.138, 0.258)",0.198,+,165,UKB: ns | AoU: +,ns+
phecode_215,Testicular dysfunction,Endo,"0.379 (0.358, 0.402)","0.728 (0.705, 0.755)","0.349 (0.317, 0.379)",+,0.349,"0.53 (0.507, 0.553)","0.703 (0.67, 0.733)","0.175 (0.134, 0.211)",0.175,+,535,UKB: + | AoU: +,++
phecode_215-1,Testicular hypofunction,Endo,"0.363 (0.342, 0.381)","0.738 (0.718, 0.758)","0.376 (0.347, 0.407)",+,0.376,"0.531 (0.508, 0.552)","0.701 (0.67, 0.73)","0.173 (0.133, 0.208)",0.173,+,531,UKB: + | AoU: +,++
phecode_229,Other endocrine disorders,Endo,"0.432 (0.39, 0.465)","0.795 (0.764, 0.832)","0.364 (0.318, 0.424)",+,0.364,"0.575 (0.57, 0.581)","0.567 (0.56, 0.572)","-0.008 (-0.017, -0.002)",-0.008,-,14632,UKB: + | AoU: -,+-
phecode_230,Malnutrition and underweight,Metab,"0.601 (0.597, 0.605)","0.676 (0.671, 0.68)","0.075 (0.071, 0.079)",+,0.075,"0.579 (0.574, 0.583)","0.638 (0.632, 0.643)","0.059 (0.054, 0.064)",0.059,+,15865,UKB: + | AoU: +,++
phecode_230-1,Protein-calorie malnutrition,Metab,"0.609 (0.584, 0.63)","0.785 (0.768, 0.806)","0.175 (0.151, 0.199)",+,0.175,"0.58 (0.574, 0.586)","0.582 (0.577, 0.59)","0.002 (-0.006, 0.009)",0.002,ns,14375,UKB: + | AoU: ns,+ns
phecode_230-2,Abnormal loss of weight and underweight,Metab,"0.603 (0.599, 0.608)","0.672 (0.668, 0.677)","0.068 (0.064, 0.074)",+,0.068,"0.585 (0.572, 0.594)","0.674 (0.667, 0.685)","0.09 (0.081, 0.1)",0.09,+,3924,UKB: + | AoU: +,++
phecode_230-21,Abnormal weight loss,Metab,"0.609 (0.604, 0.612)","0.678 (0.674, 0.683)","0.069 (0.064, 0.074)",+,0.069,"0.604 (0.59, 0.615)","0.693 (0.683, 0.7)","0.089 (0.075, 0.098)",0.089,+,3182,UKB: + | AoU: +,++
phecode_230-22,Underweight,Metab,"0.59 (0.573, 0.6)","0.731 (0.716, 0.744)","0.142 (0.123, 0.161)",+,0.142,"0.545 (0.528, 0.565)","0.684 (0.672, 0.7)","0.139 (0.117, 0.153)",0.139,+,1246,UKB: + | AoU: +,++
phecode_230-3,Anorexia,Metab,"0.601 (0.595, 0.614)","0.716 (0.708, 0.725)","0.114 (0.105, 0.12)",+,0.114,"0.602 (0.587, 0.626)","0.72 (0.699, 0.733)","0.118 (0.096, 0.139)",0.118,+,1120,UKB: + | AoU: +,++
phecode_230-4,Cachexia,Metab,"0.673 (0.635, 0.707)","0.805 (0.78, 0.835)","0.133 (0.093, 0.168)",+,0.133,"0.638 (0.617, 0.659)","0.806 (0.778, 0.818)","0.165 (0.139, 0.189)",0.165,+,548,UKB: + | AoU: +,++
phecode_230-5,Early satiety,Metab,"0.555 (0.491, 0.618)","0.821 (0.777, 0.861)","0.27 (0.211, 0.329)",+,0.27,"0.607 (0.581, 0.628)","0.708 (0.686, 0.731)","0.102 (0.073, 0.132)",0.102,+,578,UKB: + | AoU: +,++
phecode_232,Vitamin deficiencies,Metab,"0.53 (0.527, 0.534)","0.727 (0.725, 0.73)","0.198 (0.193, 0.202)",+,0.198,"0.59 (0.584, 0.599)","0.64 (0.633, 0.647)","0.05 (0.037, 0.058)",0.05,+,11771,UKB: + | AoU: +,++
phecode_232-1,Vitamin A deficiency,Metab,"0.581 (0.525, 0.631)","0.814 (0.78, 0.846)","0.231 (0.178, 0.286)",+,0.231,"0.645 (0.601, 0.706)","0.578 (0.519, 0.625)","-0.07 (-0.175, 0.014)",-0.07,ns,117,UKB: + | AoU: ns,+ns
phecode_232-2,Vitamin B group deficiency,Metab,"0.562 (0.557, 0.568)","0.74 (0.736, 0.744)","0.179 (0.172, 0.184)",+,0.179,"0.601 (0.59, 0.612)","0.675 (0.666, 0.685)","0.073 (0.062, 0.084)",0.073,+,4313,UKB: + | AoU: +,++
phecode_232-27,Vitamin B12 deficiency,Metab,"0.574 (0.561, 0.588)","0.755 (0.746, 0.769)","0.181 (0.169, 0.205)",+,0.181,"0.638 (0.609, 0.668)","0.735 (0.711, 0.76)","0.097 (0.064, 0.131)",0.097,+,595,UKB: + | AoU: +,++
phecode_232-29,Folate deficiency [Vitamin B9],Metab,"0.642 (0.627, 0.657)","0.748 (0.73, 0.762)","0.105 (0.09, 0.132)",+,0.105,"0.634 (0.61, 0.663)","0.693 (0.666, 0.708)","0.056 (0.028, 0.084)",0.056,+,720,UKB: + | AoU: +,++
phecode_232-4,Vitamin D deficiency,Metab,"0.494 (0.491, 0.497)","0.739 (0.736, 0.742)","0.245 (0.241, 0.249)",+,0.245,"0.595 (0.588, 0.603)","0.639 (0.633, 0.647)","0.044 (0.03, 0.052)",0.044,+,10231,UKB: + | AoU: +,++
phecode_234,Other nutritional deficiencies,Metab,"0.195 (0.189, 0.204)","0.53 (0.524, 0.536)","0.335 (0.324, 0.346)",+,0.335,"0.58 (0.574, 0.586)","0.603 (0.598, 0.608)","0.023 (0.015, 0.03)",0.023,+,14379,UKB: + | AoU: +,++
phecode_236,Overweight and obesity,Metab,"0.486 (0.483, 0.489)","0.707 (0.704, 0.709)","0.221 (0.218, 0.224)",+,0.221,"0.544 (0.539, 0.55)","0.598 (0.592, 0.604)","0.054 (0.047, 0.063)",0.054,+,14395,UKB: + | AoU: +,++
phecode_236-1,Obesity,Metab,"0.486 (0.483, 0.488)","0.706 (0.703, 0.709)","0.221 (0.218, 0.224)",+,0.221,"0.544 (0.539, 0.55)","0.598 (0.592, 0.604)","0.054 (0.047, 0.063)",0.054,+,14395,UKB: + | AoU: +,++
phecode_236-11,Morbid obesity,Metab,"0.569 (0.556, 0.579)","0.867 (0.859, 0.874)","0.297 (0.286, 0.311)",+,0.297,"0.578 (0.572, 0.584)","0.694 (0.686, 0.702)","0.116 (0.106, 0.129)",0.116,+,6371,UKB: + | AoU: +,++
phecode_236-2,Localized adiposity,Metab,"0.536 (0.483, 0.563)","0.88 (0.859, 0.914)","0.343 (0.309, 0.419)",+,0.343,"0.597 (0.563, 0.626)","0.732 (0.699, 0.758)","0.135 (0.079, 0.18)",0.135,+,424,UKB: + | AoU: +,++
phecode_237,Abnormal weight gain,Metab,"0.507 (0.495, 0.516)","0.752 (0.746, 0.759)","0.245 (0.234, 0.259)",+,0.245,"0.601 (0.59, 0.614)","0.684 (0.674, 0.694)","0.082 (0.067, 0.101)",0.082,+,2316,UKB: + | AoU: +,++
phecode_239,Hyperlipidemia,Metab,"0.604 (0.602, 0.606)","0.667 (0.665, 0.669)","0.062 (0.06, 0.064)",+,0.062,"0.678 (0.674, 0.683)","0.696 (0.69, 0.701)","0.017 (0.014, 0.021)",0.017,+,13723,UKB: + | AoU: +,++
phecode_239-1,Hypercholesterolemia,Metab,"0.609 (0.607, 0.612)","0.671 (0.669, 0.673)","0.062 (0.06, 0.064)",+,0.062,"0.671 (0.667, 0.675)","0.703 (0.697, 0.708)","0.032 (0.027, 0.037)",0.032,+,10087,UKB: + | AoU: +,++
phecode_239-11,Pure hypercholesterolemia,Metab,"0.611 (0.608, 0.613)","0.673 (0.671, 0.674)","0.062 (0.06, 0.064)",+,0.062,"0.66 (0.653, 0.667)","0.685 (0.677, 0.692)","0.025 (0.019, 0.03)",0.025,+,5754,UKB: + | AoU: +,++
phecode_239-12,Familial hypercholesterolemia*,Metab,"0.546 (0.534, 0.556)","0.742 (0.733, 0.757)","0.196 (0.183, 0.208)",+,0.196,"0.599 (0.554, 0.652)","0.666 (0.608, 0.701)","0.061 (-0.04, 0.131)",0.061,ns,208,UKB: + | AoU: ns,+ns
phecode_239-2,Hyperglyceridemia,Metab,"0.499 (0.488, 0.512)","0.699 (0.689, 0.71)","0.199 (0.184, 0.213)",+,0.199,"0.648 (0.642, 0.652)","0.629 (0.622, 0.636)","-0.019 (-0.03, -0.011)",-0.019,-,8233,UKB: + | AoU: -,+-
phecode_239-21,Pure hyperglyceridemia,Metab,"0.592 (0.563, 0.612)","0.719 (0.706, 0.748)","0.128 (0.102, 0.158)",+,0.128,"0.551 (0.533, 0.564)","0.652 (0.639, 0.665)","0.102 (0.081, 0.124)",0.102,+,1517,UKB: + | AoU: +,++
phecode_239-3,Mixed hyperlipidemia,Metab,"0.467 (0.454, 0.485)","0.699 (0.686, 0.708)","0.232 (0.211, 0.248)",+,0.232,"0.663 (0.657, 0.668)","0.623 (0.614, 0.63)","-0.041 (-0.052, -0.033)",-0.041,-,7564,UKB: + | AoU: -,+-
phecode_240,Disorders of amino-acid transport and metabolism,Metab,"0.512 (0.476, 0.553)","0.741 (0.684, 0.803)","0.231 (0.176, 0.285)",+,0.231,"0.538 (0.511, 0.575)","0.709 (0.684, 0.737)","0.169 (0.134, 0.222)",0.169,+,356,UKB: + | AoU: +,++
phecode_241,Disorders of carbohydrate metabolism,Metab,"0.534 (0.515, 0.557)","0.664 (0.642, 0.684)","0.129 (0.101, 0.15)",+,0.129,"0.595 (0.56, 0.614)","0.685 (0.659, 0.705)","0.093 (0.067, 0.11)",0.093,+,779,UKB: + | AoU: +,++
phecode_244,Disorders of lipoprotein metabolism and other lipidemias,Metab,"0.565 (0.555, 0.579)","0.715 (0.703, 0.725)","0.149 (0.132, 0.163)",+,0.149,"0.593 (0.569, 0.606)","0.658 (0.643, 0.685)","0.067 (0.041, 0.09)",0.067,+,1108,UKB: + | AoU: +,++
phecode_244-4,"Lipodystrophy, not elsewhere classified",Metab,"0.557 (0.522, 0.599)","0.919 (0.896, 0.957)","0.361 (0.332, 0.406)",+,0.361,"0.611 (0.582, 0.637)","0.646 (0.579, 0.698)","0.032 (-0.049, 0.095)",0.032,ns,122,UKB: + | AoU: ns,+ns
phecode_247,Disorders of mineral metabolism and mineral deficiencies,Metab,"0.56 (0.556, 0.564)","0.676 (0.67, 0.679)","0.115 (0.111, 0.119)",+,0.115,"0.568 (0.561, 0.572)","0.676 (0.669, 0.682)","0.109 (0.103, 0.117)",0.109,+,11743,UKB: + | AoU: +,++
phecode_247-3,Disorder of phosphorus metabolism,Metab,"0.625 (0.609, 0.641)","0.69 (0.673, 0.712)","0.064 (0.048, 0.084)",+,0.064,"0.59 (0.58, 0.604)","0.796 (0.782, 0.809)","0.205 (0.188, 0.22)",0.205,+,1926,UKB: + | AoU: +,++
phecode_247-4,Disorders of magnesium metabolism,Metab,"0.643 (0.631, 0.659)","0.788 (0.774, 0.8)","0.144 (0.13, 0.159)",+,0.144,"0.579 (0.567, 0.588)","0.774 (0.763, 0.785)","0.197 (0.184, 0.204)",0.197,+,3053,UKB: + | AoU: +,++
phecode_247-42,Hypomagnesemia*,Metab,"0.657 (0.63, 0.687)","0.834 (0.812, 0.87)","0.177 (0.139, 0.209)",+,0.177,"0.579 (0.568, 0.587)","0.776 (0.766, 0.788)","0.198 (0.188, 0.208)",0.198,+,3080,UKB: + | AoU: +,++
phecode_247-5,Disorders of calcium metabolism,Metab,"0.605 (0.597, 0.613)","0.681 (0.671, 0.687)","0.076 (0.067, 0.083)",+,0.076,"0.632 (0.622, 0.64)","0.704 (0.697, 0.715)","0.072 (0.064, 0.084)",0.072,+,4272,UKB: + | AoU: +,++
phecode_247-51,Hypocalcemia,Metab,"0.477 (0.461, 0.496)","0.729 (0.718, 0.746)","0.252 (0.229, 0.275)",+,0.252,"0.558 (0.542, 0.57)","0.723 (0.711, 0.739)","0.165 (0.141, 0.187)",0.165,+,1461,UKB: + | AoU: +,++
phecode_247-52,Hypercalcemia,Metab,"0.66 (0.643, 0.673)","0.754 (0.745, 0.774)","0.095 (0.081, 0.109)",+,0.095,"0.643 (0.632, 0.657)","0.714 (0.702, 0.728)","0.07 (0.052, 0.087)",0.07,+,1813,UKB: + | AoU: +,++
phecode_247-7,Disorders of iron metabolism,Metab,"0.549 (0.546, 0.553)","0.686 (0.682, 0.692)","0.137 (0.132, 0.143)",+,0.137,"0.55 (0.542, 0.556)","0.666 (0.656, 0.675)","0.117 (0.106, 0.125)",0.117,+,7790,UKB: + | AoU: +,++
phecode_247-71,Hemochromatosis,Metab,"0.55 (0.528, 0.571)","0.684 (0.664, 0.698)","0.133 (0.111, 0.159)",+,0.133,"0.591 (0.537, 0.655)","0.631 (0.598, 0.679)","0.043 (-0.007, 0.105)",0.043,ns,162,UKB: + | AoU: ns,+ns
phecode_247-72,Iron deficiency,Metab,"0.55 (0.545, 0.553)","0.692 (0.689, 0.696)","0.142 (0.137, 0.147)",+,0.142,"0.55 (0.542, 0.558)","0.667 (0.657, 0.675)","0.117 (0.104, 0.126)",0.117,+,7571,UKB: + | AoU: +,++
phecode_248,"Disorders of plasma-protein metabolism, NEC",Metab,"0.612 (0.587, 0.642)","0.697 (0.673, 0.728)","0.085 (0.067, 0.108)",+,0.085,"0.589 (0.572, 0.605)","0.726 (0.706, 0.744)","0.138 (0.107, 0.159)",0.138,+,1090,UKB: + | AoU: +,++
phecode_249,Amyloidosis,Metab,"0.708 (0.688, 0.737)","0.709 (0.683, 0.741)","0.003 (-0.014, 0.019)",ns,0.003,"0.705 (0.659, 0.742)","0.75 (0.697, 0.796)","0.044 (0.023, 0.075)",0.044,+,204,UKB: ns | AoU: +,ns+
phecode_251,Disorders of bilirubin excretion,Metab,"0.595 (0.58, 0.607)","0.688 (0.669, 0.704)","0.093 (0.083, 0.105)",+,0.093,"0.624 (0.594, 0.657)","0.663 (0.641, 0.688)","0.04 (0.007, 0.069)",0.04,+,772,UKB: + | AoU: +,++
phecode_251-1,Gilbert syndrome*,Metab,"0.606 (0.597, 0.616)","0.694 (0.682, 0.71)","0.089 (0.073, 0.103)",+,0.089,"0.665 (0.597, 0.73)","0.688 (0.634, 0.733)","0.02 (-0.029, 0.097)",0.02,ns,127,UKB: + | AoU: ns,+ns
phecode_252,Other and unspecified disorders of metabolism,Metab,"0.476 (0.449, 0.512)","0.744 (0.716, 0.772)","0.27 (0.225, 0.307)",+,0.27,"0.547 (0.528, 0.563)","0.701 (0.686, 0.717)","0.153 (0.123, 0.181)",0.153,+,952,UKB: + | AoU: +,++
phecode_256,"Disorders of fluid, electrolyte and acid-base balance",Metab,"0.63 (0.627, 0.634)","0.694 (0.691, 0.698)","0.065 (0.062, 0.067)",+,0.065,"0.587 (0.583, 0.592)","0.681 (0.676, 0.685)","0.094 (0.086, 0.098)",0.094,+,12045,UKB: + | AoU: +,++
phecode_256-1,Hyperosmolality and/or hypernatremia,Metab,"0.589 (0.573, 0.606)","0.657 (0.639, 0.673)","0.068 (0.057, 0.081)",+,0.068,"0.63 (0.614, 0.643)","0.795 (0.779, 0.812)","0.166 (0.144, 0.184)",0.166,+,1353,UKB: + | AoU: +,++
