phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+MedicalHistory,delta
Mental,phecode_294,Sexual dysfunction and disorders,"0.66 (0.65, 0.668)","0.693 (0.684, 0.702)","0.033 (0.029, 0.039)"
Mental,phecode_296,Specific personality disorders,"0.647 (0.631, 0.66)","0.767 (0.755, 0.781)","0.119 (0.102, 0.147)"
Mental,phecode_296-4,Borderline personality disorder,"0.709 (0.687, 0.731)","0.811 (0.789, 0.824)","0.1 (0.072, 0.125)"
Mental,phecode_299,"Mental disorder, not otherwise specified","0.552 (0.549, 0.556)","0.534 (0.53, 0.538)","-0.018 (-0.026, -0.011)"
Mental,phecode_308,Signs and symptoms involving emotional state,"0.597 (0.589, 0.605)","0.651 (0.642, 0.662)","0.053 (0.041, 0.067)"
Mental,phecode_308-1,Irritability,"0.587 (0.562, 0.608)","0.678 (0.647, 0.705)","0.089 (0.06, 0.127)"
Mental,phecode_308-3,Emotional lability,"0.548 (0.525, 0.587)","0.677 (0.652, 0.705)","0.128 (0.081, 0.159)"
Mental,phecode_308-7,Restlessness and agitation*,"0.615 (0.595, 0.63)","0.711 (0.693, 0.733)","0.093 (0.071, 0.129)"
Neuro,phecode_320,Meningitis,"0.529 (0.499, 0.549)","0.705 (0.674, 0.739)","0.18 (0.14, 0.22)"
Neuro,phecode_320-3,Meningitis NOS,"0.53 (0.495, 0.553)","0.702 (0.67, 0.733)","0.174 (0.129, 0.208)"
Neuro,phecode_321,"Encephalitis, myelitis and encephalomyelitis","0.534 (0.508, 0.591)","0.71 (0.667, 0.744)","0.171 (0.109, 0.224)"
Neuro,phecode_322,Other CNS infection,"0.582 (0.534, 0.626)","0.647 (0.604, 0.688)","0.071 (0.013, 0.121)"
Neuro,phecode_323,Systemic atrophies primarily affecting the central nervous system,"0.683 (0.652, 0.716)","0.741 (0.713, 0.775)","0.06 (0.018, 0.092)"
Neuro,phecode_323-3,Motor neuron disease,"0.69 (0.638, 0.74)","0.711 (0.66, 0.753)","0.025 (-0.016, 0.062)"
Neuro,phecode_324,Extrapyramidal and movement disorders,"0.605 (0.598, 0.611)","0.704 (0.696, 0.709)","0.098 (0.089, 0.104)"
Neuro,phecode_324-1,Parkinsonism,"0.774 (0.758, 0.789)","0.825 (0.807, 0.84)","0.05 (0.039, 0.061)"
Neuro,phecode_324-11,Parkinson's disease (Primary),"0.817 (0.806, 0.832)","0.852 (0.838, 0.868)","0.035 (0.025, 0.046)"
Neuro,phecode_324-12,Secondary parkinsonism,"0.634 (0.575, 0.692)","0.816 (0.767, 0.857)","0.183 (0.139, 0.225)"
Neuro,phecode_324-2,Degenerative diseases of the basal ganglia (excluding parkinsons),"0.687 (0.637, 0.732)","0.786 (0.744, 0.817)","0.097 (0.057, 0.141)"
Neuro,phecode_324-3,Dystonia,"0.609 (0.599, 0.621)","0.734 (0.723, 0.744)","0.125 (0.109, 0.137)"
Neuro,phecode_324-34,Torticollis,"0.577 (0.555, 0.6)","0.694 (0.675, 0.71)","0.118 (0.094, 0.134)"
Neuro,phecode_324-36,Blepharospasm,"0.594 (0.552, 0.629)","0.741 (0.703, 0.785)","0.143 (0.088, 0.202)"
Neuro,phecode_324-4,Tremor,"0.63 (0.621, 0.639)","0.726 (0.717, 0.736)","0.096 (0.087, 0.105)"
Neuro,phecode_324-41,Essential tremor*,"0.728 (0.703, 0.744)","0.763 (0.748, 0.776)","0.034 (0.02, 0.052)"
Neuro,phecode_324-5,Myoclonus,"0.578 (0.547, 0.606)","0.754 (0.729, 0.783)","0.175 (0.139, 0.222)"
Neuro,phecode_324-8,Restless legs syndrome,"0.602 (0.592, 0.618)","0.704 (0.692, 0.718)","0.102 (0.083, 0.117)"
Neuro,phecode_325,Symptoms and signs related to movement disorders,"0.662 (0.656, 0.666)","0.747 (0.742, 0.752)","0.086 (0.08, 0.091)"
Neuro,phecode_325-1,Abnormal involuntary movements,"0.565 (0.55, 0.582)","0.724 (0.71, 0.734)","0.158 (0.137, 0.178)"
Neuro,phecode_325-12,Fasciculation*,"0.526 (0.507, 0.55)","0.727 (0.7, 0.745)","0.201 (0.165, 0.23)"
Neuro,phecode_325-2,Abnormality of gait and mobility,"0.679 (0.673, 0.684)","0.765 (0.76, 0.77)","0.085 (0.08, 0.091)"
Neuro,phecode_325-21,Ataxic gait*,"0.685 (0.643, 0.73)","0.777 (0.737, 0.819)","0.094 (0.033, 0.141)"
Neuro,phecode_325-23,Unsteadiness on feet*,"0.737 (0.727, 0.746)","0.822 (0.816, 0.831)","0.085 (0.079, 0.093)"
Neuro,phecode_325-3,Lack of coordination,"0.668 (0.654, 0.681)","0.755 (0.741, 0.766)","0.087 (0.076, 0.099)"
Neuro,phecode_326,Demyelinating diseases of the central nervous system,"0.587 (0.56, 0.612)","0.662 (0.639, 0.695)","0.075 (0.044, 0.116)"
Neuro,phecode_326-1,Multiple sclerosis,"0.622 (0.591, 0.652)","0.707 (0.669, 0.739)","0.081 (0.044, 0.123)"
Neuro,phecode_327,Other degenerative diseases of nervous system,"0.719 (0.694, 0.749)","0.782 (0.752, 0.806)","0.064 (0.031, 0.085)"
Neuro,phecode_328,Dementias and cerebral degeneration,"0.715 (0.696, 0.726)","0.746 (0.726, 0.757)","0.031 (0.025, 0.036)"
Neuro,phecode_328-1,Alzheimer's disease,"0.869 (0.859, 0.881)","0.881 (0.869, 0.894)","0.012 (0.007, 0.018)"
Neuro,phecode_328-7,Vascular dementia,"0.827 (0.805, 0.843)","0.886 (0.867, 0.901)","0.059 (0.051, 0.071)"
Neuro,phecode_328-8,Dementia in conditions classified elsewhere,"0.828 (0.812, 0.841)","0.857 (0.84, 0.87)","0.029 (0.021, 0.037)"
Neuro,phecode_328-9,Dementia NOS,"0.714 (0.695, 0.725)","0.75 (0.73, 0.761)","0.036 (0.029, 0.041)"
Neuro,phecode_329,Symptoms and signs involving cognitive functions and awareness,"0.595 (0.591, 0.6)","0.671 (0.667, 0.676)","0.076 (0.072, 0.08)"
Neuro,phecode_329-1,Memory loss,"0.689 (0.682, 0.699)","0.747 (0.739, 0.754)","0.057 (0.046, 0.064)"
Neuro,phecode_329-4,Other specified cognitive deficit,"0.59 (0.567, 0.607)","0.679 (0.66, 0.696)","0.09 (0.072, 0.112)"
Neuro,phecode_329-41,Attention and concentration deficit,"0.655 (0.607, 0.695)","0.703 (0.649, 0.736)","0.046 (-0.009, 0.09)"
Neuro,phecode_329-42,Cognitive communication deficit,"0.644 (0.624, 0.665)","0.705 (0.683, 0.726)","0.06 (0.041, 0.085)"
Neuro,phecode_329-5,"Mild cognitive impairment, so stated","0.757 (0.73, 0.786)","0.802 (0.781, 0.824)","0.043 (0.028, 0.058)"
Neuro,phecode_329-8,"Altered mental status, unspecified","0.569 (0.563, 0.575)","0.649 (0.643, 0.654)","0.08 (0.073, 0.085)"
Neuro,phecode_329-9,Delirium,"0.715 (0.68, 0.742)","0.646 (0.617, 0.673)","-0.066 (-0.123, -0.011)"
Neuro,phecode_330,"Epilepsy, recurrent seizures, convulsions","0.552 (0.539, 0.564)","0.693 (0.684, 0.703)","0.14 (0.128, 0.158)"
Neuro,phecode_330-1,Epilepsy,"0.558 (0.542, 0.573)","0.733 (0.718, 0.747)","0.176 (0.155, 0.195)"
Neuro,phecode_330-11,Generalized epilepsy,"0.584 (0.548, 0.61)","0.821 (0.793, 0.842)","0.239 (0.201, 0.273)"
Neuro,phecode_330-12,Partial epilepsy,"0.532 (0.509, 0.557)","0.835 (0.814, 0.856)","0.303 (0.266, 0.339)"
Neuro,phecode_330-3,Convulsions,"0.552 (0.539, 0.564)","0.692 (0.683, 0.701)","0.139 (0.126, 0.157)"
Neuro,phecode_331,Headache,"0.585 (0.58, 0.59)","0.613 (0.608, 0.617)","0.028 (0.019, 0.034)"
Neuro,phecode_331-1,Tension headache,"0.594 (0.583, 0.604)","0.696 (0.682, 0.709)","0.101 (0.085, 0.119)"
Neuro,phecode_331-3,"Headache syndromes, non migraine","0.575 (0.562, 0.593)","0.734 (0.719, 0.744)","0.159 (0.137, 0.177)"
Neuro,phecode_331-4,Cluster headaches,"0.558 (0.526, 0.593)","0.708 (0.671, 0.739)","0.149 (0.106, 0.18)"
Neuro,phecode_331-6,Migraine,"0.645 (0.637, 0.65)","0.671 (0.665, 0.679)","0.026 (0.019, 0.035)"
Neuro,phecode_331-61,Migraine with aura,"0.639 (0.63, 0.65)","0.722 (0.71, 0.734)","0.082 (0.063, 0.099)"
Neuro,phecode_331-7,Drug induced headache,"0.617 (0.585, 0.639)","0.746 (0.722, 0.771)","0.131 (0.094, 0.165)"
Neuro,phecode_331-8,Headache NOS,"0.585 (0.58, 0.59)","0.609 (0.604, 0.614)","0.024 (0.016, 0.03)"
Neuro,phecode_333,Sleep disorders,"0.559 (0.553, 0.563)","0.658 (0.653, 0.663)","0.1 (0.092, 0.106)"
Neuro,phecode_333-1,Sleep apnea,"0.58 (0.574, 0.584)","0.679 (0.674, 0.686)","0.1 (0.093, 0.109)"
Neuro,phecode_333-11,Obstructive sleep apnea,"0.584 (0.578, 0.589)","0.689 (0.682, 0.695)","0.105 (0.098, 0.116)"
Neuro,phecode_333-2,Insomnia,"0.556 (0.547, 0.562)","0.676 (0.67, 0.682)","0.119 (0.111, 0.133)"
Neuro,phecode_333-3,Hypersomnia,"0.522 (0.514, 0.532)","0.699 (0.69, 0.708)","0.175 (0.166, 0.192)"
Neuro,phecode_333-4,Circadian rhythm sleep disorder,"0.542 (0.522, 0.568)","0.711 (0.679, 0.728)","0.168 (0.131, 0.195)"
Neuro,phecode_333-43,"Circadian rhythm sleep disorder, jet lag or shift work type","0.661 (0.622, 0.698)","0.589 (0.533, 0.627)","-0.075 (-0.15, -0.003)"
Neuro,phecode_333-5,Parasomnia and sleep arousal Disorders,"0.563 (0.534, 0.584)","0.734 (0.713, 0.756)","0.175 (0.14, 0.206)"
Neuro,phecode_334,Disorders of other cranial nerves,"0.586 (0.576, 0.595)","0.683 (0.67, 0.695)","0.096 (0.081, 0.111)"
Neuro,phecode_334-1,Trigeminal nerve disorders [CN5],"0.604 (0.59, 0.626)","0.724 (0.702, 0.742)","0.119 (0.092, 0.142)"
Neuro,phecode_334-11,Trigeminal neuralgia,"0.62 (0.597, 0.642)","0.735 (0.709, 0.761)","0.119 (0.082, 0.147)"
Neuro,phecode_334-12,Atypical face pain,"0.58 (0.546, 0.618)","0.729 (0.689, 0.764)","0.148 (0.109, 0.194)"
Neuro,phecode_334-2,Facial nerve disorders and weakness,"0.578 (0.566, 0.591)","0.678 (0.666, 0.695)","0.101 (0.079, 0.118)"
Neuro,phecode_334-21,Bell's palsy,"0.525 (0.506, 0.549)","0.617 (0.589, 0.635)","0.09 (0.051, 0.123)"
Neuro,phecode_334-23,Facial weakness,"0.602 (0.587, 0.62)","0.711 (0.696, 0.733)","0.111 (0.089, 0.133)"
Neuro,phecode_334-4,Disorders of oculomotor nerves,"0.654 (0.623, 0.69)","0.729 (0.704, 0.756)","0.075 (0.042, 0.106)"
Neuro,phecode_334-44,Sixth [abducent] nerve palsy,"0.648 (0.61, 0.707)","0.711 (0.657, 0.747)","0.052 (0.01, 0.101)"
Neuro,phecode_335,Nerve root and plexus disorders,"0.613 (0.607, 0.619)","0.723 (0.72, 0.729)","0.11 (0.105, 0.117)"
Neuro,phecode_335-1,Nerve plexus lesions,"0.567 (0.554, 0.58)","0.664 (0.644, 0.682)","0.095 (0.077, 0.125)"
Neuro,phecode_335-11,Brachial plexus lesions,"0.566 (0.551, 0.581)","0.661 (0.641, 0.677)","0.093 (0.073, 0.122)"
Neuro,phecode_335-4,Phantom limb (syndrome),"0.638 (0.576, 0.672)","0.877 (0.849, 0.901)","0.238 (0.19, 0.295)"
Neuro,phecode_336,Mononeuropathies,"0.583 (0.577, 0.591)","0.697 (0.689, 0.706)","0.115 (0.105, 0.123)"
Neuro,phecode_336-1,Carpal tunnel syndrome,"0.594 (0.586, 0.601)","0.711 (0.703, 0.72)","0.117 (0.108, 0.13)"
Neuro,phecode_336-2,"Lesion of median, ulnar, radial nerve","0.574 (0.566, 0.583)","0.69 (0.681, 0.698)","0.116 (0.104, 0.128)"
Neuro,phecode_336-4,Mononeuritis of upper limb,"0.591 (0.583, 0.598)","0.688 (0.681, 0.696)","0.097 (0.087, 0.111)"
Neuro,phecode_336-5,Mononeuritis of lower limb,"0.61 (0.598, 0.62)","0.719 (0.708, 0.727)","0.108 (0.097, 0.124)"
Neuro,phecode_336-51,Lesion of sciatic nerve,"0.636 (0.607, 0.654)","0.727 (0.708, 0.751)","0.094 (0.072, 0.114)"
Neuro,phecode_336-52,Meralgia paresthetica,"0.591 (0.563, 0.608)","0.732 (0.713, 0.766)","0.146 (0.117, 0.194)"
Neuro,phecode_336-54,Tarsal tunnel syndrome,"0.567 (0.522, 0.595)","0.803 (0.761, 0.837)","0.235 (0.18, 0.302)"
Neuro,phecode_336-55,Lesion of plantar nerve,"0.661 (0.627, 0.682)","0.744 (0.723, 0.766)","0.086 (0.056, 0.115)"
Neuro,phecode_337,Polyneuropathies,"0.591 (0.588, 0.596)","0.658 (0.653, 0.663)","0.065 (0.062, 0.069)"
Neuro,phecode_337-1,Hereditary and idiopathic neuropathy,"0.696 (0.678, 0.715)","0.791 (0.775, 0.807)","0.095 (0.079, 0.113)"
Neuro,phecode_337-2,Inflammatory polyneuropathy,"0.605 (0.595, 0.614)","0.647 (0.636, 0.658)","0.043 (0.029, 0.054)"
Neuro,phecode_337-3,Toxic neuropathy,"0.634 (0.62, 0.653)","0.731 (0.716, 0.748)","0.096 (0.069, 0.121)"
Neuro,phecode_337-31,Drug-induced polyneuropathy,"0.623 (0.606, 0.642)","0.751 (0.738, 0.77)","0.13 (0.11, 0.153)"
Neuro,phecode_337-8,Polyneuropathy in diseases classified elsewhere,"0.65 (0.641, 0.656)","0.884 (0.877, 0.891)","0.235 (0.223, 0.244)"
Neuro,phecode_338,Myasthenia gravis and other myoneural disorders,"0.586 (0.555, 0.62)","0.721 (0.695, 0.751)","0.135 (0.104, 0.166)"
Neuro,phecode_339,Primary disorders of muscles,"0.659 (0.607, 0.703)","0.589 (0.551, 0.631)","-0.066 (-0.136, 0.004)"
Neuro,phecode_339-1,Muscular dystrophy,"0.676 (0.633, 0.726)","0.601 (0.553, 0.636)","-0.075 (-0.146, -0.022)"
Neuro,phecode_340,Myopathies,"0.627 (0.585, 0.657)","0.786 (0.763, 0.816)","0.161 (0.122, 0.211)"
Neuro,phecode_341,Cerebral palsy and other paralytic syndromes,"0.62 (0.611, 0.632)","0.775 (0.763, 0.787)","0.156 (0.137, 0.168)"
Neuro,phecode_341-2,Hemiplegia and hemiparesis,"0.627 (0.617, 0.642)","0.79 (0.777, 0.801)","0.163 (0.145, 0.179)"
Neuro,phecode_341-6,Cauda equina syndrome,"0.629 (0.588, 0.677)","0.791 (0.763, 0.828)","0.162 (0.103, 0.199)"
Neuro,phecode_342,Plegia and unspecified paralysis,"0.571 (0.555, 0.586)","0.69 (0.679, 0.703)","0.12 (0.105, 0.139)"
Neuro,phecode_342-1,Paraplegia/Diplegia,"0.574 (0.543, 0.606)","0.767 (0.735, 0.799)","0.194 (0.148, 0.243)"
Neuro,phecode_342-2,Quadriplegia,"0.622 (0.575, 0.662)","0.86 (0.824, 0.885)","0.238 (0.18, 0.288)"
Neuro,phecode_342-4,Monoplegia,"0.601 (0.572, 0.626)","0.725 (0.705, 0.753)","0.129 (0.092, 0.162)"
Neuro,phecode_342-5,Paralysis NOS,"0.548 (0.531, 0.568)","0.661 (0.646, 0.676)","0.113 (0.091, 0.133)"
Neuro,phecode_343,Disorders of autonomic nervous system,"0.56 (0.55, 0.572)","0.781 (0.771, 0.793)","0.222 (0.207, 0.237)"
Neuro,phecode_343-1,Autonomic neuropathy,"0.578 (0.559, 0.597)","0.871 (0.861, 0.881)","0.292 (0.273, 0.313)"
Neuro,phecode_343-3,Complex regional pain syndrome,"0.57 (0.544, 0.602)","0.746 (0.72, 0.776)","0.175 (0.138, 0.212)"
Neuro,phecode_344,Disorders of the circulation of the cerebrospinal fluid,"0.54 (0.511, 0.563)","0.667 (0.639, 0.689)","0.129 (0.089, 0.17)"
Neuro,phecode_344-1,Hydrocephalus,"0.602 (0.564, 0.645)","0.75 (0.721, 0.774)","0.149 (0.105, 0.193)"
Neuro,phecode_344-2,Benign intracranial hypertension,"0.728 (0.7, 0.754)","0.7 (0.655, 0.733)","-0.031 (-0.081, 0.016)"
Neuro,phecode_344-3,Cerebrospinal fluid leak,"0.568 (0.514, 0.61)","0.733 (0.699, 0.77)","0.166 (0.115, 0.224)"
Neuro,phecode_345,Encephalopathy,"0.611 (0.6, 0.619)","0.811 (0.803, 0.818)","0.2 (0.187, 0.212)"
Neuro,phecode_346,Brain damage and brain death,"0.515 (0.505, 0.529)","0.685 (0.673, 0.701)","0.169 (0.15, 0.191)"
Neuro,phecode_346-1,Postconcussion syndrome,"0.568 (0.54, 0.589)","0.706 (0.683, 0.727)","0.137 (0.106, 0.174)"
Neuro,phecode_346-3,Anoxic brain damage,"0.575 (0.544, 0.615)","0.804 (0.776, 0.849)","0.231 (0.175, 0.279)"
Neuro,phecode_346-5,Compression of brain,"0.546 (0.511, 0.574)","0.69 (0.655, 0.716)","0.145 (0.103, 0.183)"
Neuro,phecode_346-6,Cerebral edema,"0.579 (0.553, 0.601)","0.759 (0.735, 0.783)","0.181 (0.147, 0.204)"
Neuro,phecode_347,Other disorders of the brain and CNS,"0.529 (0.525, 0.532)","0.629 (0.626, 0.633)","0.101 (0.096, 0.105)"
Neuro,phecode_347-1,Cerebral cysts,"0.544 (0.509, 0.582)","0.655 (0.628, 0.716)","0.119 (0.065, 0.179)"
Neuro,phecode_347-2,Disorders of meninges,"0.574 (0.525, 0.629)","0.752 (0.711, 0.785)","0.175 (0.109, 0.246)"
Neuro,phecode_348,Other diseases of spinal cord,"0.648 (0.641, 0.655)","0.758 (0.753, 0.764)","0.11 (0.104, 0.117)"
Neuro,phecode_348-2,Myelopathies,"0.663 (0.656, 0.67)","0.776 (0.77, 0.782)","0.113 (0.107, 0.121)"
Neuro,phecode_348-21,Vascular myelopathies,"0.755 (0.745, 0.766)","0.819 (0.811, 0.829)","0.064 (0.055, 0.075)"
Neuro,phecode_348-4,Spinal cord compression*,"0.658 (0.652, 0.668)","0.732 (0.724, 0.74)","0.074 (0.067, 0.083)"
Neuro,phecode_349,Disorder of nervous system,"0.55 (0.545, 0.553)","0.615 (0.612, 0.619)","0.066 (0.061, 0.069)"
Neuro,phecode_349-1,Abnormal findings on diagnostic test of central nervous system,"0.623 (0.609, 0.634)","0.718 (0.709, 0.729)","0.094 (0.084, 0.107)"
Neuro,phecode_349-12,Abnormal electroencephalogram [EEG],"0.575 (0.537, 0.619)","0.764 (0.719, 0.795)","0.185 (0.129, 0.239)"
Neuro,phecode_349-13,Abnormal findings on diagnostic imaging of skull and head,"0.614 (0.596, 0.632)","0.699 (0.682, 0.714)","0.083 (0.068, 0.104)"
Neuro,phecode_349-2,Abnormal results of function studies of peripheral nervous system,"0.622 (0.595, 0.654)","0.708 (0.678, 0.734)","0.082 (0.054, 0.118)"
Neuro,phecode_349-3,Nonspecific abnormal electromyogram [EMG],"0.618 (0.588, 0.655)","0.748 (0.71, 0.779)","0.128 (0.085, 0.173)"
Neuro,phecode_350,Other symptoms involving nervous system,"0.617 (0.611, 0.627)","0.722 (0.716, 0.73)","0.105 (0.098, 0.11)"
Neuro,phecode_350-3,Abnormal reflex,"0.546 (0.525, 0.579)","0.671 (0.648, 0.695)","0.123 (0.084, 0.153)"
Neuro,phecode_350-5,Repeated falls*,"0.692 (0.684, 0.701)","0.791 (0.782, 0.798)","0.098 (0.089, 0.109)"
Neuro,phecode_351,Disturbances of skin sensation,"0.555 (0.55, 0.56)","0.65 (0.645, 0.654)","0.095 (0.089, 0.1)"
Neuro,phecode_351-1,Anesthesia of skin*,"0.56 (0.554, 0.567)","0.697 (0.692, 0.704)","0.137 (0.13, 0.145)"
Neuro,phecode_351-3,Paresthesia of skin*,"0.564 (0.558, 0.569)","0.705 (0.7, 0.711)","0.141 (0.135, 0.149)"
Neuro,phecode_352,Disturbances of sensation of smell and taste,"0.543 (0.532, 0.554)","0.668 (0.656, 0.68)","0.124 (0.108, 0.141)"
Neuro,phecode_352-1,Anosmia*,"0.566 (0.55, 0.581)","0.681 (0.66, 0.703)","0.114 (0.083, 0.144)"
Neuro,phecode_352-3,Parageusia*,"0.555 (0.532, 0.583)","0.659 (0.637, 0.683)","0.101 (0.076, 0.14)"
Neuro,phecode_353,Symptoms and signs involving general sensations and perceptions,"0.56 (0.543, 0.576)","0.67 (0.646, 0.679)","0.11 (0.079, 0.134)"
Neuro,phecode_353-1,Hallucinations,"0.587 (0.567, 0.6)","0.717 (0.694, 0.727)","0.131 (0.101, 0.152)"
Neuro,phecode_353-11,Auditory hallucinations*,"0.66 (0.632, 0.689)","0.789 (0.757, 0.812)","0.129 (0.078, 0.168)"
Neuro,phecode_353-12,Visual hallucinations,"0.61 (0.583, 0.636)","0.75 (0.722, 0.776)","0.14 (0.111, 0.163)"
Neuro,phecode_354,Dizziness and giddiness,"0.568 (0.563, 0.573)","0.661 (0.656, 0.666)","0.093 (0.087, 0.096)"
Neuro,phecode_355,Coma and other alteration of consciousness,"0.563 (0.558, 0.57)","0.664 (0.656, 0.668)","0.101 (0.095, 0.106)"
Neuro,phecode_355-1,Coma,"0.573 (0.566, 0.58)","0.67 (0.664, 0.676)","0.097 (0.09, 0.103)"
Neuro,phecode_355-2,Alteration of consciousness,"0.534 (0.521, 0.544)","0.677 (0.667, 0.691)","0.144 (0.133, 0.156)"
Neuro,phecode_356,Speech disturbance,"0.641 (0.632, 0.653)","0.753 (0.745, 0.761)","0.111 (0.103, 0.121)"
Neuro,phecode_356-1,Dysarthria,"0.662 (0.639, 0.677)","0.781 (0.767, 0.798)","0.119 (0.102, 0.138)"
Neuro,phecode_356-2,Aphasia and dysphasia,"0.667 (0.649, 0.682)","0.763 (0.749, 0.782)","0.096 (0.084, 0.113)"
Neuro,phecode_356-4,Slurred speech*,"0.622 (0.601, 0.641)","0.77 (0.749, 0.79)","0.148 (0.124, 0.177)"
Eye,phecode_360,Inflammation of eyelids,"0.602 (0.593, 0.611)","0.703 (0.693, 0.71)","0.099 (0.09, 0.109)"
Eye,phecode_360-1,Hordeolum,"0.563 (0.549, 0.578)","0.673 (0.657, 0.683)","0.109 (0.088, 0.127)"
Eye,phecode_360-11,Hordeolum externum,"0.563 (0.549, 0.578)","0.673 (0.657, 0.683)","0.109 (0.088, 0.127)"
Eye,phecode_360-12,Hordeolum internum,"0.59 (0.568, 0.622)","0.705 (0.68, 0.728)","0.108 (0.075, 0.146)"
Eye,phecode_360-2,Chalazion,"0.598 (0.577, 0.616)","0.702 (0.675, 0.718)","0.104 (0.078, 0.125)"
Eye,phecode_360-4,Blepharitis,"0.639 (0.628, 0.648)","0.732 (0.723, 0.744)","0.095 (0.086, 0.106)"
Eye,phecode_360-5,Noninfectious dermatoses of eyelid,"0.64 (0.61, 0.666)","0.738 (0.715, 0.757)","0.1 (0.064, 0.134)"
Eye,phecode_360-51,Eczematous dermatitis of eyelid,"0.598 (0.569, 0.628)","0.741 (0.71, 0.769)","0.139 (0.103, 0.189)"
Eye,phecode_361,Disorders of eyelid function,"0.72 (0.712, 0.729)","0.777 (0.764, 0.784)","0.056 (0.051, 0.061)"
Eye,phecode_361-1,Entropion and trichiasis of eyelid,"0.726 (0.698, 0.767)","0.799 (0.773, 0.837)","0.07 (0.055, 0.085)"
Eye,phecode_361-15,Trichiasis of eyelid without entropion,"0.713 (0.679, 0.751)","0.837 (0.811, 0.862)","0.121 (0.091, 0.151)"
Eye,phecode_361-3,Ptosis of eyelid,"0.712 (0.701, 0.722)","0.775 (0.763, 0.788)","0.063 (0.055, 0.077)"
Eye,phecode_361-4,Blepharochalasis,"0.797 (0.789, 0.808)","0.826 (0.814, 0.836)","0.029 (0.021, 0.037)"
Eye,phecode_361-9,Ectropion of eyelid,"0.73 (0.716, 0.742)","0.775 (0.764, 0.789)","0.046 (0.039, 0.054)"
Eye,phecode_362,Other disorders of the eyelids,"0.626 (0.62, 0.632)","0.704 (0.697, 0.71)","0.079 (0.073, 0.084)"
Eye,phecode_362-5,Cysts of eyelid,"0.614 (0.594, 0.631)","0.701 (0.676, 0.719)","0.086 (0.064, 0.103)"
Eye,phecode_362-6,Dermatochalasis of eyelid,"0.796 (0.788, 0.809)","0.739 (0.72, 0.749)","-0.057 (-0.077, -0.045)"
Eye,phecode_363,Disorders of lacrimal system,"0.65 (0.642, 0.657)","0.725 (0.718, 0.731)","0.074 (0.069, 0.08)"
Eye,phecode_363-2,Dry eye syndrome [Tear film insufficiency],"0.65 (0.643, 0.658)","0.723 (0.716, 0.73)","0.072 (0.067, 0.079)"
Eye,phecode_363-5,Epiphora,"0.678 (0.646, 0.702)","0.743 (0.71, 0.765)","0.06 (0.033, 0.084)"
Eye,phecode_363-7,Stenosis and insufficiency of lacrimal passages,"0.712 (0.664, 0.753)","0.808 (0.768, 0.842)","0.097 (0.06, 0.13)"
Eye,phecode_365,Noninflammatory disorders of the orbit,"0.573 (0.568, 0.579)","0.629 (0.624, 0.634)","0.055 (0.051, 0.061)"
Eye,phecode_365-3,Exophthalmos [Proptosis],"0.581 (0.556, 0.61)","0.67 (0.636, 0.703)","0.088 (0.048, 0.121)"
Eye,phecode_366,Noninflammatory disorders of conjunctiva,"0.545 (0.538, 0.553)","0.642 (0.636, 0.65)","0.097 (0.087, 0.106)"
Eye,phecode_366-1,Pterygium of eye,"0.627 (0.596, 0.657)","0.623 (0.589, 0.669)","-0.006 (-0.052, 0.037)"
Eye,phecode_366-2,Conjunctival degenerations and deposits,"0.599 (0.571, 0.62)","0.663 (0.634, 0.703)","0.068 (0.028, 0.096)"
Eye,phecode_366-21,Pinguecula,"0.599 (0.573, 0.632)","0.651 (0.624, 0.701)","0.055 (0.02, 0.086)"
Eye,phecode_366-4,Vascular abnormalities of conjunctiva,"0.592 (0.558, 0.627)","0.709 (0.669, 0.759)","0.117 (0.092, 0.155)"
Eye,phecode_367,Inflammation of the eye,"0.543 (0.534, 0.551)","0.648 (0.641, 0.654)","0.106 (0.097, 0.115)"
Eye,phecode_367-1,Conjunctivitis,"0.546 (0.536, 0.554)","0.644 (0.639, 0.651)","0.098 (0.089, 0.109)"
Eye,phecode_367-12,Allergic [atopic] conjunctivitis,"0.564 (0.547, 0.577)","0.709 (0.7, 0.722)","0.147 (0.13, 0.164)"
Eye,phecode_367-2,Keratitis,"0.608 (0.591, 0.62)","0.742 (0.728, 0.755)","0.137 (0.117, 0.148)"
Eye,phecode_367-21,Corneal ulcer,"0.53 (0.507, 0.558)","0.711 (0.668, 0.733)","0.178 (0.121, 0.22)"
Eye,phecode_367-22,Punctate keratitis,"0.656 (0.631, 0.699)","0.789 (0.765, 0.813)","0.13 (0.095, 0.158)"
Eye,phecode_367-3,Keratoconjunctivitis,"0.644 (0.628, 0.659)","0.764 (0.75, 0.776)","0.118 (0.1, 0.138)"
Eye,phecode_367-4,Inflammation of orbit,"0.55 (0.539, 0.559)","0.62 (0.609, 0.632)","0.071 (0.056, 0.091)"
Eye,phecode_367-5,Uveitis,"0.565 (0.534, 0.582)","0.701 (0.682, 0.722)","0.139 (0.117, 0.162)"
Eye,phecode_367-52,Iridocyclitis,"0.565 (0.534, 0.582)","0.701 (0.682, 0.722)","0.139 (0.117, 0.162)"
Eye,phecode_367-7,Scleritis,"0.558 (0.521, 0.598)","0.729 (0.688, 0.767)","0.168 (0.124, 0.234)"
