phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+MedicalHistory,delta
Preg,phecode_908,"Edema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium","0.852 (0.848, 0.856)","0.778 (0.768, 0.795)","-0.073 (-0.084, -0.057)"
Preg,phecode_930,Maternal care for abnormality of pelvic organs,"0.832 (0.826, 0.838)","0.914 (0.908, 0.919)","0.082 (0.078, 0.087)"
Preg,phecode_932,Known or suspected fetal abnormality affecting management of mother,"0.869 (0.866, 0.873)","0.918 (0.916, 0.921)","0.05 (0.047, 0.053)"
Preg,phecode_938,"Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium","0.867 (0.864, 0.872)","0.774 (0.768, 0.779)","-0.094 (-0.102, -0.088)"
Preg,phecode_940,Malposition and malpresentation of fetus,"0.849 (0.842, 0.856)","0.577 (0.548, 0.594)","-0.272 (-0.299, -0.254)"
Rx,phecode_969,Adverse effects of agents primarily affecting gastrointestinal system,"0.587 (0.582, 0.593)","0.661 (0.656, 0.666)","0.074 (0.068, 0.082)"
Rx,phecode_973,Adverse effect of other drug,"0.582 (0.572, 0.594)","0.751 (0.742, 0.762)","0.169 (0.156, 0.18)"
Rx,phecode_974,Adverse effect of vaccine,"0.585 (0.559, 0.613)","0.705 (0.672, 0.736)","0.118 (0.09, 0.15)"
Rx,phecode_975,Primarily systemic agents causing adverse effects in therapeutic use,"0.632 (0.61, 0.657)","0.747 (0.723, 0.776)","0.119 (0.073, 0.151)"
Rx,phecode_975-2,Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,"0.632 (0.61, 0.657)","0.747 (0.723, 0.776)","0.119 (0.073, 0.151)"
Rx,phecode_977,Long term (current) drug therapy,"0.543 (0.54, 0.547)","0.569 (0.564, 0.573)","0.025 (0.021, 0.03)"
Rx,phecode_977-1,Long term (current) use of anticoagulants and antithrombotics/antiplatelets,"0.663 (0.658, 0.668)","0.715 (0.71, 0.72)","0.052 (0.047, 0.057)"
Rx,phecode_977-11,Long term (current) use of anticoagulants,"0.677 (0.67, 0.682)","0.77 (0.762, 0.777)","0.092 (0.085, 0.101)"
Rx,phecode_977-4,Long term (current) use of steroids,"0.578 (0.572, 0.585)","0.739 (0.733, 0.747)","0.162 (0.151, 0.171)"
Rx,phecode_977-41,Long term (current) use of inhaled steroids*,"0.579 (0.57, 0.587)","0.795 (0.788, 0.801)","0.216 (0.205, 0.226)"
Rx,phecode_977-5,Long term (current) use of agents affecting hormones,"0.804 (0.78, 0.827)","0.818 (0.79, 0.837)","0.014 (0.002, 0.025)"
Rx,phecode_977-51,Long term (current) use of hormonal contraceptives,"0.875 (0.859, 0.889)","0.919 (0.907, 0.931)","0.043 (0.027, 0.057)"
Rx,phecode_977-7,Long term (current) use of insulin or oral hypoglycemic drugs,"0.579 (0.573, 0.587)","0.809 (0.802, 0.815)","0.229 (0.22, 0.239)"
Rx,phecode_977-71,Long term (current) use of insulin,"0.581 (0.575, 0.588)","0.827 (0.821, 0.834)","0.247 (0.237, 0.256)"
Rx,phecode_977-72,Long term (current) use of oral hypoglycemic drugs,"0.568 (0.522, 0.616)","0.734 (0.692, 0.773)","0.163 (0.129, 0.231)"
